name,game,description
Acid Spray,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The user spits fluid that works to melt the target. This harshly lowers the target’s Sp. Def stat.
Acid Spray,"['Scarlet', 'Violet']",The user attacks by spitting fluid that works to melt the target. This also harshly lowers the target’s Sp. Def stat.
Acrobatics,"['Black', 'White', 'Black 2', 'White 2']","The user nimbly strikes the target. If the user is not holding an item, this attack inflicts massive damage."
Acrobatics,"['X', 'Y', 'O.Ruby', 'A.Sapphire']","The user nimbly strikes the target. If the user is not holding an item, this attack inflicts massive damage."
Acrobatics,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","The user nimbly strikes the target. If the user is not holding an item, this attack inflicts massive damage."
Acrobatics,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","The user nimbly strikes the target. If the user is not holding an item, this attack inflicts massive damage."
Acrobatics,"['Scarlet', 'Violet']",The user nimbly strikes the target. This attack does massive damage if the user isn’t holding an item.
Acupressure,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']","The user applies pressure to stress points, sharply boosting one of its stats."
Acupressure,"['Black', 'White', 'Black 2', 'White 2']","The user applies pressure to stress points, sharply boosting one of its stats."
Acupressure,"['X', 'Y', 'O.Ruby', 'A.Sapphire']","The user applies pressure to stress points, sharply boosting one of its or its allies’ stats."
Acupressure,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","The user applies pressure to stress points, sharply boosting one of its or its allies’ stats."
Acupressure,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","The user applies pressure to stress points, sharply boosting one of its or its allies’ stats."
Acupressure,"['Scarlet', 'Violet']","The user applies pressure to stress points, sharply boosting one of its or its allies’ stats."
Aerial Ace,"['Ruby', 'Sapphire', 'Emerald']",An extremely speedy and unavoidable attack.
Aerial Ace,"['FireRed', 'LeafGreen']",An extremely fast attack against one target. It can’t be evaded.
Aerial Ace,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']","The user confounds the foe with speed, then slashes. The attack lands without fail."
Aerial Ace,"['Black', 'White', 'Black 2', 'White 2']","The user confounds the target with speed, then slashes. The attack lands without fail."
Aerial Ace,"['X', 'Y', 'O.Ruby', 'A.Sapphire']","The user confounds the target with speed, then slashes. This attack never misses."
Aerial Ace,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","The user confounds the target with speed, then slashes. This attack never misses."
Aerial Ace,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","The user confounds the target with speed, then slashes. This attack never misses."
Aerial Ace,"['Scarlet', 'Violet']","The user confounds the target with speed, then slashes. This attack never misses."
Aeroblast,"['Gold', 'Silver', 'Crystal']",Has a high critical hit ratio.
Aeroblast,"['Ruby', 'Sapphire', 'Emerald']",Launches a vacuumed blast. High critical-hit ratio.
Aeroblast,"['FireRed', 'LeafGreen']",A vortex of air is shot at the foe. It has a high critical-hit ratio.
Aeroblast,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",A vortex of air is shot at the foe to inflict damage. It has a high critical-hit ratio.
Aeroblast,"['Black', 'White', 'Black 2', 'White 2']",A vortex of air is shot at the target to inflict damage. Critical hits land more easily.
Aeroblast,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",A vortex of air is shot at the target to inflict damage. Critical hits land more easily.
Aeroblast,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",A vortex of air is shot at the target to inflict damage. Critical hits land more easily.
Aeroblast,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",A vortex of air is shot at the target to inflict damage. Critical hits land more easily.
Aeroblast,"['Scarlet', 'Violet']",A vortex of air is shot at the target to inflict damage. This move has a heightened chance of landing a critical hit.
After You,"['Black', 'White', 'Black 2', 'White 2']",The user helps the target and makes it use its move right after the user.
After You,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The user helps the target and makes it use its move right after the user.
After You,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The user helps the target and makes it use its move right after the user.
After You,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The user helps the target and makes it use its move right after the user.
After You,"['Scarlet', 'Violet']",The user helps the target and makes it use its move right after the user.
Agility,"['Gold', 'Silver', 'Crystal']",Sharply increases the user’s SPEED.
Agility,"['Ruby', 'Sapphire', 'Emerald']",Relaxes the body to sharply boost SPEED.
Agility,"['FireRed', 'LeafGreen']",The user relaxes and lightens its body to sharply boost its SPEED.
Agility,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The user relaxes and lightens its body to move faster. It sharply boosts the Speed stat.
Agility,"['Black', 'White', 'Black 2', 'White 2']",The user relaxes and lightens its body to move faster. It sharply boosts the Speed stat.
Agility,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The user relaxes and lightens its body to move faster. This sharply raises the Speed stat.
Agility,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon', 'L.G. Pikachu', 'L.G. Eevee']",The user relaxes and lightens its body to move faster. This sharply raises the Speed stat.
Agility,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The user relaxes and lightens its body to move faster. This sharply raises the Speed stat.
Agility,"['Scarlet', 'Violet']",The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.
Air Cutter,"['Ruby', 'Sapphire', 'Emerald']",Hacks with razorlike wind. High critical-hit ratio.
Air Cutter,"['FireRed', 'LeafGreen']",The foe is hit with razor-like wind. It has a high critical-hit ratio.
Air Cutter,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The user launches razorlike wind to slash the foe. It has a high critical-hit ratio.
Air Cutter,"['Black', 'White', 'Black 2', 'White 2']",The user launches razor-like wind to slash the opposing team. Critical hits land more easily.
Air Cutter,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The user launches razor-like wind to slash the opposing Pokémon. Critical hits land more easily.
Air Cutter,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The user launches razor-like wind to slash the opposing Pokémon. Critical hits land more easily.
Air Cutter,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The user launches razor-like wind to slash opposing Pokémon. Critical hits land more easily.
Air Cutter,"['Scarlet', 'Violet']",The user launches razor-like wind to slash opposing Pokémon. This move has a heightened chance of landing a critical hit.
Air Slash,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The user attacks with a blade of air that slices even the sky. It may also make the target flinch.
Air Slash,"['Black', 'White', 'Black 2', 'White 2']",The user attacks with a blade of air that slices even the sky. It may also make the target flinch.
Air Slash,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The user attacks with a blade of air that slices even the sky. This may also make the target flinch.
Air Slash,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon', 'L.G. Pikachu', 'L.G. Eevee']",The user attacks with a blade of air that slices even the sky. This may also make the target flinch.
Air Slash,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The user attacks with a blade of air that slices even the sky. This may also make the target flinch.
Air Slash,"['Scarlet', 'Violet']",The user attacks with a blade of air that slices even the sky. This may also make the target flinch.
All-Out Pummeling,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","The user rams an energy orb created by its Z-Power into the target with full force. The power varies, depending on the original move."
All-Out Pummeling,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
All-Out Pummeling,"['Scarlet', 'Violet']","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Ally Switch,"['Black', 'White', 'Black 2', 'White 2']",The user teleports using a strange power and switches its place with one of its allies.
Ally Switch,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The user teleports using a strange power and switches places with one of its allies.
Ally Switch,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The user teleports using a strange power and switches places with one of its allies.
Ally Switch,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The user teleports using a strange power and switches places with one of its allies.
Ally Switch,"['Scarlet', 'Violet']",The user teleports using a strange power and switches places with one of its allies. This move’s chance of failing rises if it is used in succession.
Amnesia,"['Gold', 'Silver', 'Crystal']",Sharply raises the user’s SPCL.DEF.
Amnesia,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Forgets about something and sharply raises SP. DEF.
Amnesia,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The user temporarily empties its mind to forget its concerns. It sharply raises the user’s Sp. Def stat.
Amnesia,"['Black', 'White', 'Black 2', 'White 2']",The user temporarily empties its mind to forget its concerns. It sharply raises the user’s Sp. Def stat.
Amnesia,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The user temporarily empties its mind to forget its concerns. This sharply raises the user’s Sp. Def stat.
Amnesia,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon', 'L.G. Pikachu', 'L.G. Eevee']",The user temporarily empties its mind to forget its concerns. This sharply raises the user’s Sp. Def stat.
Amnesia,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The user temporarily empties its mind to forget its concerns. This sharply raises the user’s Sp. Def stat.
Amnesia,"['Scarlet', 'Violet']",The user temporarily empties its mind to forget its concerns. This sharply boosts the user’s Sp. Def stat.
Anchor Shot,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.
Anchor Shot,"['Sword', 'Shield']",The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.
Anchor Shot,"['B.Diamond', 'S.Pearl']","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Anchor Shot,"['Scarlet', 'Violet']",The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.
Ancient Power,"['Gold', 'Silver', 'Crystal']",An attack that may raise all stats.
Ancient Power,"['Ruby', 'Sapphire', 'Emerald']",An attack that may raise all stats.
Ancient Power,"['FireRed', 'LeafGreen']",An ancient power is used to attack. It may also raise all the user’s stats.
Ancient Power,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The user attacks with a prehistoric power. It may also raise all the user’s stats at once.
Ancient Power,"['Black', 'White', 'Black 2', 'White 2']",The user attacks with a prehistoric power. It may also raise all the user’s stats at once.
Ancient Power,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The user attacks with a prehistoric power. This may also raise all the user’s stats at once.
Ancient Power,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The user attacks with a prehistoric power. This may also raise all the user’s stats at once.
Ancient Power,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The user attacks with a prehistoric power. This may also raise all the user’s stats at once.
Ancient Power,"['Scarlet', 'Violet']",The user attacks with a prehistoric power. This may also boost all the user’s stats at once.
Apple Acid,"['Sword', 'Shield']",The user attacks the target with an acidic liquid created from tart apples. This also lowers the target’s Sp. Def stat.
Apple Acid,"['B.Diamond', 'S.Pearl']","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Apple Acid,"['Scarlet', 'Violet']",The user attacks the target with an acidic liquid created from tart apples. This also lowers the target’s Sp. Def stat.
Aqua Cutter,"['Scarlet', 'Violet']",The user expels pressurized water to cut at the target like a blade. This move has a heightened chance of landing a critical hit.
Aqua Jet,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The user lunges at the foe at a speed that makes it almost invisible. It is sure to strike first.
Aqua Jet,"['Black', 'White', 'Black 2', 'White 2']",The user lunges at the target at a speed that makes it almost invisible. It is sure to strike first.
Aqua Jet,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The user lunges at the target at a speed that makes it almost invisible. This move always goes first.
Aqua Jet,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon', 'L.G. Pikachu', 'L.G. Eevee']",The user lunges at the target at a speed that makes it almost invisible. This move always goes first.
Aqua Jet,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The user lunges at the target at a speed that makes it almost invisible. This move always goes first.
Aqua Jet,"['Scarlet', 'Violet']","The user lunges at the target to inflict damage, moving at blinding speed. This move always goes first."
Aqua Ring,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The user envelops itself in a veil made of water. It regains some HP on every turn.
Aqua Ring,"['Black', 'White', 'Black 2', 'White 2']",The user envelops itself in a veil made of water. It regains some HP on every turn.
Aqua Ring,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The user envelops itself in a veil made of water. It regains some HP every turn.
Aqua Ring,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The user envelops itself in a veil made of water. It regains some HP every turn.
Aqua Ring,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The user envelops itself in a veil made of water. It regains some HP every turn.
Aqua Ring,"['Scarlet', 'Violet']",The user envelops itself in a veil made of water. It regains some HP every turn.
Aqua Step,"['Scarlet', 'Violet']",The user toys with the target and attacks it using light and fluid dance steps. This also boosts the user’s Speed stat.
Aqua Tail,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The user attacks by swinging its tail as if it were a vicious wave in a raging storm. 
Aqua Tail,"['Black', 'White', 'Black 2', 'White 2']",The user attacks by swinging its tail as if it were a vicious wave in a raging storm.
Aqua Tail,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The user attacks by swinging its tail as if it were a vicious wave in a raging storm.
Aqua Tail,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The user attacks by swinging its tail as if it were a vicious wave in a raging storm.
Aqua Tail,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The user attacks by swinging its tail as if it were a vicious wave in a raging storm.
Aqua Tail,"['Scarlet', 'Violet']",The user attacks by swinging its tail as if it were a vicious wave in a raging storm.
Arm Thrust,"['Ruby', 'Sapphire', 'Emerald']",Straight-arm punches that strike the foe 2 to 5 times.
Arm Thrust,"['FireRed', 'LeafGreen']",A quick flurry of straight-arm punches that hit two to five times.
Arm Thrust,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The user looses a flurry of open-palmed arm thrusts that hit two to five times in a row.
Arm Thrust,"['Black', 'White', 'Black 2', 'White 2']",The user looses a flurry of open-palmed arm thrusts that hit two to five times in a row.
Arm Thrust,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The user lets loose a flurry of open-palmed arm thrusts that hit two to five times in a row.
Arm Thrust,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The user lets loose a flurry of open-palmed arm thrusts that hit two to five times in a row.
Arm Thrust,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The user lets loose a flurry of open-palmed arm thrusts that hit two to five times in a row.
Arm Thrust,"['Scarlet', 'Violet']",The user attacks the target with open-palmed arm thrusts. This move hits two to five times in a row.
Armor Cannon,"['Scarlet', 'Violet']",The user shoots its own armor out as blazing projectiles. This also lowers the user’s Defense and Sp. Def stats.
Aromatherapy,"['Ruby', 'Sapphire', 'Emerald']",Heals all status problems with a soothing scent.
Aromatherapy,"['FireRed', 'LeafGreen']",A soothing scent is released to heal all status problems in the user’s party.
Aromatherapy,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The user releases a soothing scent that heals all status problems affecting the user’s party.
Aromatherapy,"['Black', 'White', 'Black 2', 'White 2']",The user releases a soothing scent that heals all status problems affecting the user’s party.
Aromatherapy,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The user releases a soothing scent that heals all status conditions affecting the user’s party.
Aromatherapy,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The user releases a soothing scent that heals all status conditions affecting the user’s party.
Aromatherapy,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The user releases a soothing scent that heals all status conditions affecting the user’s party.
Aromatherapy,"['Scarlet', 'Violet']","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Aromatic Mist,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The user raises the Sp. Def stat of an ally Pokémon by using a mysterious aroma.
Aromatic Mist,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The user raises the Sp. Def stat of an ally Pokémon by using a mysterious aroma.
Aromatic Mist,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The user raises the Sp. Def stat of an ally Pokémon by using a mysterious aroma.
Aromatic Mist,"['Scarlet', 'Violet']",The user boosts the Sp. Def stat of an ally Pokémon by using a mysterious aroma.
Assist,"['Ruby', 'Sapphire', 'Emerald']",Attacks randomly with one of the partner’s moves.
Assist,"['FireRed', 'LeafGreen']",The user randomly picks and uses a move of an allied POKéMON.
Assist,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The user hurriedly and randomly uses a move among those known by other Pokémon in the party.
Assist,"['Black', 'White', 'Black 2', 'White 2']",The user hurriedly and randomly uses a move among those known by other Pokémon in the party.
Assist,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The user hurriedly and randomly uses a move among those known by other Pokémon in the party.
Assist,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The user hurriedly and randomly uses a move among those known by ally Pokémon.
Assist,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Assist,"['Scarlet', 'Violet']","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Assurance,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']","If the foe has already taken some damage in the same turn, this attack’s power is doubled."
Assurance,"['Black', 'White', 'Black 2', 'White 2']","If the target has already taken some damage in the same turn, this attack’s power is doubled."
Assurance,"['X', 'Y', 'O.Ruby', 'A.Sapphire']","If the target has already taken some damage in the same turn, this attack’s power is doubled."
Assurance,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","If the target has already taken some damage in the same turn, this attack’s power is doubled."
Assurance,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","If the target has already taken some damage in the same turn, this attack’s power is doubled."
Assurance,"['Scarlet', 'Violet']",This move’s power is doubled if the target has already taken some damage in the same turn.
Astonish,"['Ruby', 'Sapphire', 'Emerald']",An attack that may shock the foe into flinching.
Astonish,"['FireRed', 'LeafGreen']",An attack using a startling shout. It also may make the foe flinch.
Astonish,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The user attacks the foe while shouting in a startling fashion. It may also make the target flinch.
Astonish,"['Black', 'White', 'Black 2', 'White 2']",The user attacks the target while shouting in a startling fashion. It may also make the target flinch.
Astonish,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The user attacks the target while shouting in a startling fashion. This may also make the target flinch.
Astonish,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The user attacks the target while shouting in a startling fashion. This may also make the target flinch.
Astonish,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The user attacks the target while shouting in a startling fashion. This may also make the target flinch.
Astonish,"['Scarlet', 'Violet']",The user attacks the target by crying out in a startling fashion. This may also make the target flinch.
Astral Barrage,"['Sword', 'Shield']",The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.
Astral Barrage,"['B.Diamond', 'S.Pearl']","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Astral Barrage,"['Scarlet', 'Violet']",The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.
Attack Order,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The user calls out its underlings to pummel the foe. It has a high critical-hit ratio.
Attack Order,"['Black', 'White', 'Black 2', 'White 2']",The user calls out its underlings to pummel the target. Critical hits land more easily.
Attack Order,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The user calls out its underlings to pummel the target. Critical hits land more easily.
Attack Order,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The user calls out its underlings to pummel the target. Critical hits land more easily.
Attack Order,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The user calls out its underlings to pummel the target. Critical hits land more easily.
Attack Order,"['Scarlet', 'Violet']",The user calls out its underlings to pummel the target. This move has a heightened chance of landing a critical hit.
Attract,"['Gold', 'Silver', 'Crystal']",Makes the opposite gender infatuated.
Attract,"['Ruby', 'Sapphire', 'Emerald']",Makes the opposite gender less likely to attack.
Attract,"['FireRed', 'LeafGreen']","If it is the other gender, the foe is made infatuated and unlikely to attack."
Attract,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']","If it is the opposite gender of the user, the foe becomes infatuated and less likely to attack."
Attract,"['Black', 'White', 'Black 2', 'White 2']","If it is the opposite gender of the user, the target becomes infatuated and less likely to attack."
Attract,"['X', 'Y', 'O.Ruby', 'A.Sapphire']","If it is the opposite gender of the user, the target becomes infatuated and less likely to attack."
Attract,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","If it is the opposite gender of the user, the target becomes infatuated and less likely to attack."
Attract,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","If it is the opposite gender of the user, the target becomes infatuated and less likely to attack."
Attract,"['Scarlet', 'Violet']","If the target is of the opposite gender to the user, it becomes infatuated with the user and will sometimes be unable to use its moves."
Aura Sphere,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The user looses a blast of aura power from deep within its body. This move is certain to hit.
Aura Sphere,"['Black', 'White', 'Black 2', 'White 2']",The user looses a blast of aura power from deep within its body at the target. This move is certain to hit.
Aura Sphere,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The user lets loose a blast of aura power from deep within its body at the target. This attack never misses.
Aura Sphere,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The user lets loose a blast of aura power from deep within its body at the target. This attack never misses.
Aura Sphere,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The user lets loose a blast of aura power from deep within its body at the target. This attack never misses.
Aura Sphere,"['Scarlet', 'Violet']",The user lets loose a pulse of aura power from deep within its body at the target. This attack never misses.
Aura Wheel,"['Sword', 'Shield']",Morpeko attacks and raises its Speed with the energy stored in its cheeks. This move’s type changes depending on the user’s form.
Aura Wheel,"['B.Diamond', 'S.Pearl']","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Aura Wheel,"['Scarlet', 'Violet']",Morpeko attacks and boosts its Speed stat with the energy stored in its cheeks. This move’s type changes depending on the user’s form.
