name,types,power,Category,acc,pp,efect
Power Whip,Grass,120,physical,85,10,
Psycho Cut,Psychic,70,physical,100,20,High critical hit ratio.
Psycho Shift,Psychic,—,status,100,10,Transfers user's status condition to the opponent.
Punishment,Dark,—,physical,100,5,Power increases when opponent's stats have been raised.
Roar of Time,Dragon,150,special,90,5,User must recharge next turn.
Rock Climb,Normal,90,physical,85,20,May confuse opponent.
Rock Polish,Rock,—,status,—,20,Sharply raises user's Speed.
Rock Wrecker,Rock,150,physical,90,5,User must recharge next turn.
Roost,Flying,—,status,—,5,User recovers half of its max HP and loses the Flying type temporarily.
Seed Bomb,Grass,80,physical,100,15,
Seed Flare,Grass,120,special,85,5,May lower opponent's Special Defense.
Shadow Claw,Ghost,70,physical,100,15,High critical hit ratio.
Shadow Force,Ghost,120,physical,100,5,"Disappears on first turn, attacks on second. Can strike through Protect/Detect."
Shadow Sneak,Ghost,40,physical,100,30,User attacks first.
Spacial Rend,Dragon,100,special,95,5,High critical hit ratio.
Stealth Rock,Rock,—,status,—,20,Damages opponent switching into battle.
Stone Edge,Rock,100,physical,80,5,High critical hit ratio.
Sucker Punch,Dark,70,physical,100,5,"User attacks first, but only works if opponent is readying an attack."
Switcheroo,Dark,—,status,100,10,Swaps held items with the opponent.
Tailwind,Flying,—,status,—,15,Doubles Speed for 4 turns.
Thunder Fang,Electric,65,physical,95,15,May cause flinching and/or paralyze opponent.
Toxic Spikes,Poison,—,status,—,20,Poisons opponents when they switch into battle.
Trick Room,Psychic,—,status,—,5,Slower Pokémon move first in the turn for 5 turns.
Trump Card,Normal,—,special,-1,5,"The lower the PP, the higher the power."
U-turn,Bug,70,physical,100,20,User switches out immediately after attacking.
Vacuum Wave,Fighting,40,special,100,30,User attacks first.
Wake-Up Slap,Fighting,70,physical,100,10,"Power doubles if opponent is asleep, but wakes it up."
Wood Hammer,Grass,120,physical,100,15,User receives recoil damage.
Worry Seed,Grass,—,status,100,10,Changes the opponent's Ability to Insomnia.
Wring Out,Normal,—,special,100,5,"The higher the opponent's HP, the higher the damage."
X-Scissor,Bug,80,physical,100,15,
Zen Headbutt,Psychic,80,physical,90,15,May cause flinching.
