name,types,power,Category,acc,pp,efect
Mirror Coat,Psychic,—,special,100,20,"When hit by a Special Attack, user strikes back with 2x power."
Moonlight,Fairy,—,status,—,5,User recovers HP. Amount varies with the weather.
Morning Sun,Normal,—,status,—,5,User recovers HP. Amount varies with the weather.
Mud-Slap,Ground,20,special,100,10,Lowers opponent's Accuracy.
Nightmare,Ghost,—,status,100,15,The sleeping opponent loses 25% of its max HP each turn.
Octazooka,Water,65,special,85,10,May lower opponent's Accuracy.
Outrage,Dragon,120,physical,100,10,User attacks for 2-3 turns but then becomes confused.
Pain Split,Normal,—,status,—,20,The user's and opponent's HP becomes the average of both.
Perish Song,Normal,—,status,—,5,Any Pokémon in play when this attack is used faints in 3 turns.
Powder Snow,Ice,40,special,100,25,May freeze opponent.
Present,Normal,—,physical,90,15,Either deals damage or heals.
Protect,Normal,—,status,—,10,"Protects the user, but may fail if used consecutively."
Psych Up,Normal,—,status,—,10,Copies the opponent's stat changes.
Pursuit,Dark,40,physical,100,20,Double power if the opponent is switching out.
Rain Dance,Water,—,status,—,5,Makes it rain for 5 turns.
Rapid Spin,Normal,50,physical,100,40,Raises user's Speed and removes entry hazards and trap move effects.
Return,Normal,—,physical,100,20,Power increases with higher Friendship.
Reversal,Fighting,—,physical,100,15,"The lower the user's HP, the higher the power."
Rock Smash,Fighting,40,physical,100,15,May lower opponent's Defense.
Rollout,Rock,30,physical,90,20,Doubles in power each turn for 5 turns.
Sacred Fire,Fire,100,physical,95,5,May burn opponent.
Safeguard,Normal,—,status,—,25,The user's party is protected from status conditions.
Sandstorm,Rock,—,status,—,10,Creates a sandstorm for 5 turns.
Scary Face,Normal,—,status,100,10,Sharply lowers opponent's Speed.
Shadow Ball,Ghost,80,special,100,15,May lower opponent's Special Defense.
Sketch,Normal,—,status,—,1,Permanently copies the opponent's last move.
Sleep Talk,Normal,—,status,—,10,User performs one of its own moves while sleeping.
Sludge Bomb,Poison,90,special,100,10,May poison opponent.
Snore,Normal,50,special,100,15,Can only be used if asleep. May cause flinching.
Spark,Electric,65,physical,100,20,May paralyze opponent.
Spider Web,Bug,—,status,—,10,Opponent cannot escape/switch.
Spikes,Ground,—,status,—,20,Hurts opponents when they switch into battle.
Spite,Ghost,—,status,100,10,The opponent's last move loses 2-5 PP.
Steel Wing,Steel,70,physical,90,25,May raise user's Defense.
Sunny Day,Fire,—,status,—,5,Makes it sunny for 5 turns.
Swagger,Normal,—,status,85,15,"Confuses opponent, but sharply raises its Attack."
Sweet Kiss,Fairy,—,status,75,10,Confuses opponent.
Sweet Scent,Normal,—,status,100,20,Lowers opponent's Evasiveness.
Synthesis,Grass,—,status,—,5,User recovers HP. Amount varies with the weather.
Thief,Dark,60,physical,100,25,Also steals opponent's held item.
Triple Kick,Fighting,10,physical,90,10,Hits thrice in one turn at increasing power.
Twister,Dragon,40,special,100,20,May cause flinching. Hits Pokémon using Fly/Bounce with double power.
Vital Throw,Fighting,70,physical,-1,10,"User attacks last, but ignores Accuracy and Evasiveness."
Whirlpool,Water,35,special,85,15,"Traps opponent, damaging them for 4-5 turns."
Zap Cannon,Electric,120,special,50,5,Paralyzes opponent.
