name,types,power,Category,acc,pp,efect
Synchronoise,Psychic,120,special,100,10,Hits any Pokémon that shares a type with the user.
Tail Slap,Normal,25,physical,85,10,Hits 2-5 times in one turn.
Techno Blast,Normal,120,special,100,5,Type depends on the Drive being held.
Telekinesis,Psychic,—,status,—,15,"Ignores opponent's Evasiveness for three turns, add Ground immunity."
V-create,Fire,180,physical,95,5,"Lowers user's Defense, Special Defense and Speed."
Venoshock,Poison,65,special,100,10,Inflicts double damage if the target is poisoned.
Volt Switch,Electric,70,special,100,20,User must switch out after attacking.
Water Pledge,Water,80,special,100,10,Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.
Wide Guard,Rock,—,status,—,10,Protects the user's team from multi-target attacks.
Wild Charge,Electric,90,physical,100,15,User receives recoil damage.
Wonder Room,Psychic,—,status,—,10,Swaps every Pokémon's Defense and Special Defense for 5 turns.
Work Up,Normal,—,status,—,30,Raises user's Attack and Special Attack.
