pokedex_id,move_name,level
0006,Scratch,1
0006,Smokescreen,1
0006,Dragon Breath,12
0006,Fire Fang,19
0006,Slash,24
0006,Flamethrower,30
0006,Scary Face,39
0006,Fire Spin,46
0006,Inferno,54
0006,Flare Blitz,62
0007,Tackle,1
0007,Tail Whip,1
0007,Water Gun,3
0007,Withdraw,6
0007,Rapid Spin,9
0007,Bite,12
0007,Water Pulse,15
0007,Protect,18
0007,Rain Dance,21
0007,Aqua Tail,24
0007,Shell Smash,27
0007,Iron Defense,30
0007,Hydro Pump,33
0007,Wave Crash,36
0008,Tackle,1
0008,Tail Whip,1
0008,Water Gun,1
0008,Withdraw,1
0008,Rapid Spin,9
0008,Bite,12
0008,Water Pulse,15
0008,Protect,20
0008,Rain Dance,25
0008,Aqua Tail,30
0008,Shell Smash,35
0008,Iron Defense,40
0008,Hydro Pump,45
0008,Wave Crash,50
0009,Tackle,1
0009,Tail Whip,1
0009,Water Gun,1
0009,Withdraw,1
0009,Rapid Spin,9
0009,Bite,12
0009,Water Pulse,15
0009,Protect,20
0009,Rain Dance,25
0009,Aqua Tail,30
0009,Shell Smash,35
0009,Iron Defense,42
0009,Hydro Pump,49
0009,Wave Crash,56
0009,Tackle,1
0009,Tail Whip,1
0009,Water Gun,1
0009,Withdraw,1
0009,Rapid Spin,9
0009,Bite,12
0009,Water Pulse,15
0009,Protect,20
0009,Rain Dance,25
0009,Aqua Tail,30
0009,Shell Smash,35
0009,Iron Defense,42
0009,Hydro Pump,49
0009,Wave Crash,56
0010,String Shot,1
0010,Tackle,1
0010,Bug Bite,9
0011,Harden,1
0012,Bug Bite,1
0012,Gust,1
0012,Harden,1
0012,String Shot,1
0012,Tackle,1
0012,Supersonic,4
0012,Confusion,8
0012,Poison Powder,12
0012,Sleep Powder,12
0012,Stun Spore,12
0012,Psybeam,16
0012,Whirlwind,20
0012,Air Slash,24
0012,Safeguard,28
0012,Bug Buzz,32
0012,Tailwind,36
0012,Rage Powder,40
0012,Quiver Dance,44
0013,Poison Sting,1
0013,String Shot,1
0013,Bug Bite,9
0014,Harden,1
0015,Bug Bite,1
0015,Fury Attack,1
0015,Harden,1
0015,Poison Sting,1
0015,String Shot,1
0015,Fury Cutter,11
0015,Laser Focus,14
0015,Poison Sting,17
0015,Focus Energy,20
0015,Venoshock,23
0015,Assurance,26
0015,Toxic Spikes,29
0015,Pin Missile,32
0015,Poison Jab,35
0015,Agility,38
0015,Endeavor,41
0015,Fell Stinger,44
0015,Bug Bite,1
0015,Fury Attack,1
0015,Harden,1
0015,Poison Sting,1
0015,String Shot,1
0015,Fury Cutter,11
0015,Laser Focus,14
0015,Poison Sting,17
0015,Focus Energy,20
0015,Venoshock,23
0015,Assurance,26
0015,Toxic Spikes,29
0015,Pin Missile,32
0015,Poison Jab,35
0015,Agility,38
0015,Endeavor,41
0015,Fell Stinger,44
0016,Tackle,1
0016,Sand Attack,5
0016,Gust,9
0016,Quick Attack,13
0016,Whirlwind,17
0016,Twister,21
0016,Feather Dance,25
0016,Agility,29
0016,Wing Attack,33
0016,Roost,37
0016,Tailwind,41
0016,Aerial Ace,45
0016,Air Slash,49
0016,Hurricane,53
0017,Gust,1
0017,Sand Attack,1
0017,Tackle,1
0017,Sand Attack,5
0017,Gust,9
0017,Quick Attack,13
0017,Whirlwind,17
0017,Twister,22
0017,Feather Dance,27
0017,Agility,32
0017,Wing Attack,37
0017,Roost,42
0017,Tailwind,47
0017,Aerial Ace,52
0017,Air Slash,57
0017,Hurricane,62
0018,Gust,1
0018,Hurricane,1
0018,Quick Attack,1
0018,Sand Attack,1
0018,Tackle,1
0018,Sand Attack,5
0018,Gust,9
0018,Quick Attack,13
0018,Whirlwind,17
0018,Twister,22
0018,Feather Dance,27
0018,Agility,32
0018,Wing Attack,38
0018,Roost,44
0018,Tailwind,50
0018,Aerial Ace,56
0018,Air Slash,62
0018,Hurricane,68
0018,Gust,1
0018,Hurricane,1
0018,Quick Attack,1
0018,Sand Attack,1
0018,Tackle,1
0018,Sand Attack,5
0018,Gust,9
0018,Quick Attack,13
0018,Whirlwind,17
0018,Twister,22
0018,Feather Dance,27
0018,Agility,32
0018,Wing Attack,38
0018,Roost,44
0018,Tailwind,50
0018,Aerial Ace,56
0018,Air Slash,62
0018,Hurricane,68
0019,Tackle,1
0019,Tail Whip,1
0019,Quick Attack,4
0019,Focus Energy,7
0019,Bite,10
0019,Laser Focus,13
0019,Take Down,16
0019,Assurance,19
0019,Crunch,22
0019,Sucker Punch,25
0019,Super Fang,28
0019,Double-Edge,31
0019,Endeavor,34
0019,Tackle,1
0019,Tail Whip,1
0019,Quick Attack,4
0019,Focus Energy,7
0019,Bite,10
0019,Laser Focus,13
0019,Take Down,16
0019,Assurance,19
0019,Crunch,22
0019,Sucker Punch,25
0019,Super Fang,28
0019,Double-Edge,31
0019,Endeavor,34
0020,Focus Energy,1
0020,Quick Attack,1
0020,Scary Face,1
0020,Swords Dance,1
0020,Tackle,1
0020,Tail Whip,1
0020,Quick Attack,4
0020,Focus Energy,7
0020,Bite,10
0020,Laser Focus,13
0020,Take Down,16
0020,Assurance,19
0020,Crunch,24
0020,Sucker Punch,29
0020,Super Fang,34
0020,Double-Edge,39
0020,Endeavor,44
0020,Focus Energy,1
0020,Quick Attack,1
0020,Scary Face,1
0020,Swords Dance,1
0020,Tackle,1
0020,Tail Whip,1
0020,Quick Attack,4
0020,Focus Energy,7
0020,Bite,10
0020,Laser Focus,13
0020,Take Down,16
0020,Assurance,19
0020,Crunch,24
0020,Sucker Punch,29
0020,Super Fang,34
0020,Double-Edge,39
0020,Endeavor,44
0021,Growl,1
0021,Peck,1
0021,Leer,4
0021,Assurance,8
0021,Fury Attack,11
0021,Aerial Ace,15
0021,Wing Attack,18
0021,Take Down,22
0021,Agility,25
0021,Focus Energy,29
0021,Roost,32
0021,Drill Peck,36
0022,Drill Run,1
0022,Growl,1
0022,Leer,1
0022,Peck,1
0022,Pluck,1
0022,Leer,4
0022,Assurance,8
0022,Fury Attack,11
0022,Aerial Ace,15
0022,Wing Attack,18
0022,Take Down,23
0022,Agility,27
0022,Focus Energy,32
0022,Roost,36
0022,Drill Peck,41
0022,Drill Run,45
0023,Leer,1
0023,Wrap,1
0023,Poison Sting,4
0023,Bite,9
0023,Glare,12
0023,Screech,17
0023,Acid,20
0023,Spit Up,25
0023,Stockpile,25
0023,Swallow,25
0023,Acid Spray,28
0023,Sludge Bomb,33
0023,Gastro Acid,36
0023,Belch,38
0023,Haze,41
0023,Coil,44
0023,Gunk Shot,49
0024,Bite,1
0024,Fire Fang,1
0024,Ice Fang,1
0024,Leer,1
0024,Poison Sting,1
0024,Thunder Fang,1
0024,Wrap,1
0024,Glare,12
0024,Screech,17
0024,Acid,20
0024,Spit Up,27
0024,Stockpile,27
0024,Swallow,27
0024,Acid Spray,32
0024,Sludge Bomb,39
0024,Gastro Acid,44
0024,Belch,48
0024,Haze,51
0024,Coil,56
0024,Gunk Shot,63
0025,Charm,1
0025,Growl,1
0025,Nasty Plot,1
0025,Nuzzle,1
0025,Play Nice,1
0025,Quick Attack,1
0025,Sweet Kiss,1
0025,Tail Whip,1
0025,Thunder Shock,1
0025,Thunder Wave,4
0025,Double Team,8
0025,Electro Ball,12
0025,Feint,16
0025,Spark,20
0025,Agility,24
0025,Iron Tail,28
0025,Discharge,32
0025,Thunderbolt,36
0025,Light Screen,40
0025,Thunder,44
0025,Charm,1
0025,Growl,1
0025,Nasty Plot,1
0025,Nuzzle,1
0025,Play Nice,1
0025,Quick Attack,1
0025,Sweet Kiss,1
0025,Tail Whip,1
0025,Thunder Shock,1
0025,Thunder Wave,4
0025,Double Team,8
0025,Electro Ball,12
0025,Feint,16
0025,Spark,20
0025,Agility,24
0025,Iron Tail,28
0025,Discharge,32
0025,Thunderbolt,36
0025,Light Screen,40
0025,Thunder,44
0026,Agility,1
0026,Charm,1
0026,Discharge,1
0026,Double Team,1
0026,Electro Ball,1
0026,Feint,1
0026,Growl,1
0026,Iron Tail,1
0026,Light Screen,1
0026,Nasty Plot,1
0026,Nuzzle,1
0026,Play Nice,1
0026,Quick Attack,1
0026,Spark,1
0026,Sweet Kiss,1
0026,Tail Whip,1
0026,Thunder,1
0026,Thunder Shock,1
0026,Thunder Wave,1
0026,Thunderbolt,5
0026,Agility,1
0026,Charm,1
0026,Discharge,1
0026,Double Team,1
0026,Electro Ball,1
0026,Feint,1
0026,Growl,1
0026,Iron Tail,1
0026,Light Screen,1
0026,Nasty Plot,1
0026,Nuzzle,1
0026,Play Nice,1
0026,Quick Attack,1
0026,Spark,1
0026,Sweet Kiss,1
0026,Tail Whip,1
0026,Thunder,1
0026,Thunder Shock,1
0026,Thunder Wave,1
0026,Thunderbolt,5
0027,Defense Curl,1
0027,Scratch,1
0027,Poison Sting,3
0027,Sand Attack,6
0027,Rollout,9
0027,Fury Cutter,12
0027,Rapid Spin,15
0027,Bulldoze,18
0027,Swift,21
0027,Fury Swipes,24
0027,Agility,27
0027,Slash,30
0027,Dig,33
0027,Gyro Ball,36
0027,Swords Dance,39
0027,Sandstorm,42
0027,Earthquake,45
0027,Defense Curl,1
0027,Scratch,1
0027,Poison Sting,3
0027,Sand Attack,6
0027,Rollout,9
0027,Fury Cutter,12
0027,Rapid Spin,15
0027,Bulldoze,18
0027,Swift,21
0027,Fury Swipes,24
0027,Agility,27
0027,Slash,30
0027,Dig,33
0027,Gyro Ball,36
0027,Swords Dance,39
0027,Sandstorm,42
0027,Earthquake,45
0028,Crush Claw,1
0028,Defense Curl,1
0028,Poison Sting,1
0028,Sand Attack,1
0028,Scratch,1
0028,Rollout,9
0028,Fury Cutter,12
0028,Rapid Spin,15
0028,Bulldoze,18
0028,Swift,21
0028,Fury Swipes,26
0028,Sand Tomb,31
0028,Slash,36
0028,Dig,41
0028,Gyro Ball,46
0028,Swords Dance,51
0028,Sandstorm,56
0028,Earthquake,61
0028,Crush Claw,1
0028,Defense Curl,1
0028,Poison Sting,1
0028,Sand Attack,1
0028,Scratch,1
0028,Rollout,9
0028,Fury Cutter,12
0028,Rapid Spin,15
0028,Bulldoze,18
0028,Swift,21
0028,Fury Swipes,26
0028,Sand Tomb,31
0028,Slash,36
0028,Dig,41
0028,Gyro Ball,46
0028,Swords Dance,51
0028,Sandstorm,56
0028,Earthquake,61
0029,Growl,1
0029,Poison Sting,1
0029,Scratch,5
0029,Tail Whip,10
0029,Fury Swipes,15
0029,Toxic Spikes,20
0029,Double Kick,25
0029,Bite,30
0029,Helping Hand,35
0029,Toxic,40
0029,Flatter,45
0029,Crunch,50
0029,Earth Power,55
0030,Growl,1
0030,Poison Sting,1
0030,Scratch,1
0030,Tail Whip,1
0030,Fury Swipes,15
0030,Toxic Spikes,22
0030,Double Kick,29
0030,Bite,36
0030,Helping Hand,43
0030,Toxic,50
0030,Flatter,57
0030,Crunch,64
0030,Earth Power,71
0031,Bite,1
0031,Crunch,1
0031,Double Kick,1
0031,Earth Power,1
0031,Flatter,1
0031,Fury Swipes,1
0031,Growl,1
0031,Helping Hand,1
0031,Poison Sting,1
0031,Scratch,1
0031,Sludge Wave,1
0031,Superpower,1
0031,Tail Whip,1
0031,Toxic,1
0031,Toxic Spikes,1
0032,Leer,1
0032,Poison Sting,1
0032,Peck,5
0032,Focus Energy,10
0032,Fury Attack,15
0032,Toxic Spikes,20
0032,Double Kick,25
0032,Horn Attack,30
0032,Helping Hand,35
0032,Toxic,40
0032,Flatter,45
0032,Poison Jab,50
0032,Earth Power,55
0033,Focus Energy,1
0033,Leer,1
0033,Peck,1
0033,Poison Sting,1
0033,Fury Attack,15
0033,Toxic Spikes,22
0033,Double Kick,29
0033,Horn Attack,36
0033,Helping Hand,43
0033,Toxic,50
0033,Flatter,57
0033,Poison Jab,64
0033,Earth Power,71
0034,Double Kick,1
0034,Earth Power,1
0034,Flatter,1
0034,Focus Energy,1
0034,Fury Attack,1
0034,Helping Hand,1
0034,Horn Attack,1
0034,Leer,1
0034,Megahorn,1
0034,Peck,1
0034,Poison Jab,1
0034,Poison Sting,1
0034,Sludge Wave,1
0034,Toxic,1
0034,Toxic Spikes,1
0035,Charm,1
0035,Copycat,1
0035,Defense Curl,1
0035,Disarming Voice,1
0035,Growl,1
0035,Pound,1
0035,Sing,1
0035,Splash,1
0035,Sweet Kiss,1
0035,Stored Power,4
0035,Encore,8
0035,After You,12
0035,Life Dew,16
0035,Metronome,20
0035,Moonlight,24
0035,Gravity,28
0035,Meteor Mash,32
0035,Follow Me,36
0035,Cosmic Power,40
0035,Moonblast,44
0035,Healing Wish,48
0036,Life Dew,1
0036,Meteor Mash,1
0036,Metronome,1
0036,Moonblast,1
0037,Ember,1
0037,Tail Whip,1
0037,Disable,4
0037,Quick Attack,8
0037,Spite,12
0037,Incinerate,16
0037,Confuse Ray,20
0037,Will-O-Wisp,24
0037,Extrasensory,28
0037,Flamethrower,32
0037,Imprison,36
0037,Fire Spin,40
0037,Safeguard,44
0037,Inferno,48
0037,Fire Blast,52
0037,Ember,1
0037,Tail Whip,1
0037,Disable,4
0037,Quick Attack,8
0037,Spite,12
0037,Incinerate,16
0037,Confuse Ray,20
0037,Will-O-Wisp,24
0037,Extrasensory,28
0037,Flamethrower,32
0037,Imprison,36
0037,Fire Spin,40
0037,Safeguard,44
0037,Inferno,48
0037,Fire Blast,52
0038,Flamethrower,1
0038,Quick Attack,1
0038,Tail Whip,1
0038,Flamethrower,1
0038,Quick Attack,1
0038,Tail Whip,1
0039,Charm,1
0039,Copycat,1
0039,Defense Curl,1
0039,Disable,1
0039,Disarming Voice,1
0039,Pound,1
0039,Sing,1
0039,Sweet Kiss,1
0039,Echoed Voice,4
0039,Covet,8
0039,Spit Up,12
0039,Stockpile,12
0039,Swallow,12
0039,Round,16
0039,Rest,20
0039,Body Slam,24
0039,Mimic,28
0039,Gyro Ball,32
0039,Hyper Voice,36
0039,Double-Edge,44
0040,Body Slam,1
0040,Charm,1
0040,Copycat,1
0040,Covet,1
0040,Defense Curl,1
0040,Disable,1
0040,Disarming Voice,1
0040,Double-Edge,1
0040,Echoed Voice,1
0040,Gyro Ball,1
0040,Hyper Voice,1
0040,Mimic,1
0040,Pound,1
0040,Rest,1
0040,Round,1
0040,Sing,1
0040,Spit Up,1
0040,Stockpile,1
0040,Swallow,1
0040,Sweet Kiss,1
0040,Play Rough,5
0041,Absorb,1
0041,Supersonic,1
0041,Astonish,5
0041,Mean Look,10
0041,Poison Fang,15
0041,Quick Guard,20
0041,Air Cutter,25
0041,Bite,30
0041,Haze,35
0041,Venoshock,40
0041,Confuse Ray,45
0041,Air Slash,50
0041,Leech Life,55
0042,Absorb,1
0042,Astonish,1
0042,Mean Look,1
0042,Screech,1
0042,Supersonic,1
0042,Poison Fang,15
0042,Quick Guard,20
0042,Air Cutter,27
0042,Bite,34
0042,Haze,41
0042,Venoshock,48
0042,Confuse Ray,55
0042,Air Slash,62
0042,Leech Life,69
0043,Absorb,1
0043,Growth,1
0043,Acid,4
0043,Sweet Scent,8
0043,Mega Drain,12
0043,Poison Powder,14
0043,Stun Spore,16
0043,Sleep Powder,18
0043,Giga Drain,20
0043,Toxic,24
0043,Moonblast,28
0043,Grassy Terrain,32
0043,Moonlight,36
0043,Petal Dance,40
0044,Absorb,1
0044,Acid,1
0044,Growth,1
0044,Sweet Scent,1
0044,Mega Drain,12
0044,Poison Powder,14
0044,Stun Spore,16
0044,Sleep Powder,18
0044,Giga Drain,20
0044,Toxic,26
0044,Moonblast,32
0044,Grassy Terrain,38
0044,Moonlight,44
0044,Petal Dance,50
0045,Absorb,1
0045,Acid,1
0045,Giga Drain,1
0045,Grassy Terrain,1
0045,Growth,1
0045,Mega Drain,1
0045,Moonblast,1
0045,Moonlight,1
0045,Petal Dance,1
0045,Poison Powder,1
0045,Sleep Powder,1
0045,Stun Spore,1
0045,Sweet Scent,1
0045,Toxic,1
0046,Scratch,1
0046,Poison Powder,6
0046,Stun Spore,6
0046,Absorb,11
0046,Fury Cutter,17
0046,Spore,22
0046,Slash,27
0046,Growth,33
0046,Giga Drain,38
0046,Aromatherapy,43
0046,Rage Powder,49
0046,X-Scissor,54
0047,Absorb,1
0047,Cross Poison,1
0047,Poison Powder,1
0047,Scratch,1
0047,Stun Spore,1
0047,Poison Powder,6
0047,Stun Spore,6
0047,Absorb,11
0047,Fury Cutter,17
0047,Spore,22
0047,Slash,29
0047,Growth,37
0047,Giga Drain,44
0047,Aromatherapy,51
0047,Rage Powder,59
0047,X-Scissor,66
0048,Disable,1
0048,Tackle,1
0048,Supersonic,5
0048,Confusion,11
0048,Poison Powder,13
0048,Psybeam,17
0048,Stun Spore,23
0048,Bug Buzz,25
0048,Sleep Powder,29
0048,Leech Life,35
0048,Zen Headbutt,37
0048,Poison Fang,41
0048,Psychic,47
0049,Disable,1
0049,Quiver Dance,1
0049,Supersonic,1
0049,Tackle,1
0049,Confusion,11
0049,Poison Powder,13
0049,Psybeam,17
0049,Stun Spore,23
0049,Bug Buzz,25
0049,Sleep Powder,29
0049,Leech Life,37
0049,Zen Headbutt,41
0049,Poison Fang,47
0049,Psychic,55
0050,Sand Attack,1
0050,Scratch,1
0050,Growl,4
0050,Astonish,8
0050,Mud-Slap,12
0050,Bulldoze,16
0050,Sucker Punch,20
0050,Slash,24
0050,Sandstorm,28
0050,Dig,32
0050,Earth Power,36
0050,Earthquake,40
0050,Fissure,44
0050,Sand Attack,1
0050,Scratch,1
0050,Growl,4
0050,Astonish,8
0050,Mud-Slap,12
0050,Bulldoze,16
0050,Sucker Punch,20
0050,Slash,24
0050,Sandstorm,28
0050,Dig,32
0050,Earth Power,36
0050,Earthquake,40
0050,Fissure,44
0051,Astonish,1
0051,Growl,1
0051,Night Slash,1
0051,Sand Attack,1
0051,Scratch,1
0051,Tri Attack,1
0051,Mud-Slap,12
0051,Bulldoze,16
0051,Sucker Punch,20
0051,Slash,24
0051,Sandstorm,30
0051,Dig,36
0051,Earth Power,42
0051,Earthquake,48
0051,Fissure,54
0051,Astonish,1
0051,Growl,1
0051,Night Slash,1
0051,Sand Attack,1
0051,Scratch,1
0051,Tri Attack,1
0051,Mud-Slap,12
0051,Bulldoze,16
0051,Sucker Punch,20
0051,Slash,24
0051,Sandstorm,30
0051,Dig,36
0051,Earth Power,42
0051,Earthquake,48
0051,Fissure,54
0052,Fake Out,1
0052,Growl,1
0052,Feint,4
0052,Scratch,8
0052,Pay Day,12
0052,Bite,16
0052,Taunt,20
0052,Assurance,24
0052,Fury Swipes,29
0052,Screech,32
0052,Slash,36
0052,Nasty Plot,40
0052,Play Rough,44
0052,Fake Out,1
0052,Growl,1
0052,Feint,4
0052,Scratch,8
0052,Pay Day,12
0052,Bite,16
0052,Taunt,20
0052,Assurance,24
0052,Fury Swipes,29
0052,Screech,32
0052,Slash,36
0052,Nasty Plot,40
0052,Play Rough,44
0052,Fake Out,1
0052,Growl,1
0052,Feint,4
0052,Scratch,8
0052,Pay Day,12
0052,Bite,16
0052,Taunt,20
0052,Assurance,24
0052,Fury Swipes,29
0052,Screech,32
0052,Slash,36
0052,Nasty Plot,40
0052,Play Rough,44
0053,Fake Out,1
0053,Feint,1
0053,Growl,1
0053,Scratch,1
0053,Switcheroo,1
0053,Pay Day,12
0053,Bite,16
0053,Taunt,20
0053,Assurance,24
0053,Fury Swipes,31
0053,Screech,36
0053,Slash,42
0053,Nasty Plot,48
0053,Play Rough,54
0053,Fake Out,1
0053,Feint,1
0053,Growl,1
0053,Scratch,1
0053,Switcheroo,1
0053,Pay Day,12
0053,Bite,16
0053,Taunt,20
0053,Assurance,24
0053,Fury Swipes,31
0053,Screech,36
0053,Slash,42
0053,Nasty Plot,48
0053,Play Rough,54
0054,Scratch,1
0054,Tail Whip,1
0054,Water Gun,3
0054,Confusion,6
0054,Fury Swipes,9
0054,Water Pulse,12
0054,Disable,15
0054,Zen Headbutt,18
0054,Screech,21
0054,Aqua Tail,24
0054,Soak,27
0054,Psych Up,30
0054,Amnesia,34
0054,Wonder Room,39
0055,Aqua Jet,1
0055,Confusion,1
0055,Scratch,1
0055,Tail Whip,1
0055,Water Gun,1
0055,Fury Swipes,9
0055,Water Pulse,12
0055,Disable,15
0055,Zen Headbutt,18
0055,Screech,21
0055,Aqua Tail,24
0055,Soak,27
0055,Psych Up,30
0055,Amnesia,36
0055,Hydro Pump,40
0055,Wonder Room,45
0056,Covet,1
0056,Focus Energy,1
0056,Leer,1
0056,Scratch,1
0056,Fury Swipes,5
0056,Low Kick,8
0056,Seismic Toss,12
0056,Swagger,17
0056,Cross Chop,22
0056,Assurance,26
0056,Thrash,29
0056,Close Combat,33
0056,Screech,36
0056,Stomping Tantrum,40
0056,Outrage,44
0056,Final Gambit,48
0057,Fling,1
0057,Focus Energy,1
0057,Leer,1
0057,Scratch,1
0057,Fury Swipes,5
0057,Low Kick,8
0057,Seismic Toss,15
0057,Swagger,17
0057,Cross Chop,22
0057,Assurance,26
0057,Thrash,30
0057,Rage Fist,35
0057,Close Combat,39
0057,Screech,44
0057,Stomping Tantrum,48
0057,Outrage,53
0057,Final Gambit,57
0058,Ember,1
0058,Leer,1
0058,Howl,4
0058,Bite,8
0058,Flame Wheel,12
0058,Helping Hand,16
0058,Agility,20
0058,Fire Fang,24
0058,Retaliate,28
0058,Crunch,32
0058,Take Down,36
0058,Flamethrower,40
0058,Roar,44
0058,Play Rough,48
0058,Reversal,52
0058,Flare Blitz,56
0058,Ember,1
0058,Leer,1
0058,Howl,4
0058,Bite,8
0058,Flame Wheel,12
0058,Helping Hand,16
0058,Agility,20
0058,Fire Fang,24
0058,Retaliate,28
0058,Crunch,32
0058,Take Down,36
0058,Flamethrower,40
0058,Roar,44
0058,Play Rough,48
0058,Reversal,52
0058,Flare Blitz,56
0059,Agility,1
0059,Bite,1
0059,Crunch,1
0059,Ember,1
0059,Fire Fang,1
0059,Flame Wheel,1
0059,Flare Blitz,1
0059,Helping Hand,1
0059,Howl,1
0059,Leer,1
0059,Play Rough,1
0059,Retaliate,1
0059,Reversal,1
0059,Roar,1
0059,Take Down,1
0059,Flamethrower,5
0059,Agility,1
0059,Bite,1
0059,Crunch,1
0059,Ember,1
0059,Fire Fang,1
0059,Flame Wheel,1
0059,Flare Blitz,1
0059,Helping Hand,1
0059,Howl,1
0059,Leer,1
0059,Play Rough,1
0059,Retaliate,1
0059,Reversal,1
0059,Roar,1
0059,Take Down,1
0059,Flamethrower,5
0060,Hypnosis,1
0060,Water Gun,1
0060,Pound,6
0060,Mud Shot,12
0060,Bubble Beam,18
0060,Rain Dance,24
0060,Body Slam,30
0060,Earth Power,36
0060,Hydro Pump,42
0060,Belly Drum,48
0060,Double-Edge,54
0061,Hypnosis,1
0061,Mud Shot,1
0061,Pound,1
0061,Water Gun,1
0061,Bubble Beam,18
0061,Rain Dance,24
0061,Body Slam,32
0061,Earth Power,40
0061,Hydro Pump,48
0061,Belly Drum,56
0061,Double-Edge,66
0062,Body Slam,1
0062,Bubble Beam,1
0062,Hypnosis,1
0063,Teleport,1
0064,Confusion,1
0064,Disable,1
0064,Kinesis,1
0064,Teleport,1
0064,Psybeam,5
0064,Reflect,10
0064,Ally Switch,15
0064,Psycho Cut,20
0064,Recover,25
0064,Psyshock,30
0064,Psychic,35
0064,Role Play,40
0064,Future Sight,45
0064,Calm Mind,50
0065,Confusion,1
0065,Disable,1
0065,Kinesis,1
0065,Teleport,1
0065,Psybeam,5
0065,Reflect,10
0065,Ally Switch,15
0065,Psycho Cut,20
0065,Recover,25
0065,Psyshock,30
0065,Psychic,35
0065,Role Play,40
0065,Future Sight,45
0065,Calm Mind,50
0065,Confusion,1
0065,Disable,1
0065,Kinesis,1
0065,Teleport,1
0065,Psybeam,5
0065,Reflect,10
0065,Ally Switch,15
0065,Psycho Cut,20
0065,Recover,25
0065,Psyshock,30
0065,Psychic,35
0065,Role Play,40
0065,Future Sight,45
0065,Calm Mind,50
0066,Leer,1
0066,Low Kick,1
0066,Focus Energy,4
0066,Revenge,8
0066,Low Sweep,12
0066,Knock Off,16
0066,Scary Face,20
0066,Vital Throw,24
0066,Strength,29
0066,Dual Chop,32
0066,Bulk Up,36
0066,Seismic Toss,40
0066,Dynamic Punch,44
0066,Cross Chop,48
0066,Double-Edge,52
0067,Focus Energy,1
0067,Leer,1
0067,Low Kick,1
0067,Revenge,1
0067,Low Sweep,12
0067,Knock Off,16
0067,Scary Face,20
0067,Vital Throw,24
0067,Strength,31
0067,Dual Chop,36
0067,Bulk Up,42
0067,Seismic Toss,48
0067,Dynamic Punch,54
0067,Cross Chop,60
0067,Double-Edge,66
0068,Focus Energy,1
0068,Leer,1
0068,Low Kick,1
0068,Revenge,1
0068,Wide Guard,1
0068,Low Sweep,12
0068,Knock Off,16
0068,Scary Face,20
0068,Vital Throw,24
0068,Strength,31
0068,Dual Chop,36
0068,Bulk Up,42
0068,Seismic Toss,48
0068,Dynamic Punch,54
0068,Cross Chop,60
0068,Double-Edge,66
0069,Vine Whip,1
0069,Growth,7
0069,Wrap,11
0069,Sleep Powder,13
0069,Poison Powder,15
0069,Stun Spore,17
