ability,games,Description
Solar Power,"['Ultra Sun', 'Ultra Moon']","Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn."
Solar Power,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn."
Solar Power,"['Scarlet', 'Violet']","In harsh sunlight, the Pokémon’s Sp. Atk stat is boosted, but its HP decreases every turn."
Torrent,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Ups WATER moves in a pinch.
Torrent,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Powers up Water-type moves in a pinch.
Torrent,"['Black', 'White', 'Black 2', 'White 2']",Powers up Water-type moves in a pinch.
Torrent,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Powers up Water-type moves when the Pokémon is in trouble.
Torrent,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Powers up Water-type moves when the Pokémon’s HP is low.
Torrent,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Powers up Water-type moves when the Pokémon’s HP is low.
Torrent,"['Scarlet', 'Violet']",Powers up Water-type moves when the Pokémon’s HP is low.
Rain Dish,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Slight HP recovery in rain.
Rain Dish,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The Pokémon gradually recovers HP in rain.
Rain Dish,"['Black', 'White', 'Black 2', 'White 2']",The Pokémon gradually regains HP in rain.
Rain Dish,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The Pokémon gradually regains HP in rain.
Rain Dish,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The Pokémon gradually regains HP in rain.
Rain Dish,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The Pokémon gradually regains HP in rain.
Rain Dish,"['Scarlet', 'Violet']",The Pokémon gradually regains HP in rain.
Shield Dust,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Prevents added effects.
Shield Dust,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Blocks the added effects of attacks taken.
Shield Dust,"['Black', 'White', 'Black 2', 'White 2']",Blocks the added effects of attacks taken.
Shield Dust,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Blocks the additional effects of attacks taken.
Shield Dust,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",This Pokémon’s dust blocks the additional effects of attacks taken.
Shield Dust,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",This Pokémon’s dust blocks the additional effects of attacks taken.
Shield Dust,"['Scarlet', 'Violet']",Protective dust shields the Pokémon from the additional effects of moves.
Run Away,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Makes escaping easier.
Run Away,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Enables sure getaway from wild Pokémon.
Run Away,"['Black', 'White', 'Black 2', 'White 2']",Enables a sure getaway from wild Pokémon.
Run Away,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Enables a sure getaway from wild Pokémon.
Run Away,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Enables a sure getaway from wild Pokémon.
Run Away,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Enables a sure getaway from wild Pokémon.
Run Away,"['Scarlet', 'Violet']",Enables a sure getaway from wild Pokémon.
Shed Skin,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Heals the body by shedding.
Shed Skin,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The Pokémon may heal its own status problems.
Shed Skin,"['Black', 'White', 'Black 2', 'White 2']",The Pokémon may heal its own status problems.
Shed Skin,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The Pokémon may heal its own status conditions.
Shed Skin,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The Pokémon may heal its own status conditions by shedding its skin.
Shed Skin,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The Pokémon may heal its own status conditions by shedding its skin.
Shed Skin,"['Scarlet', 'Violet']",The Pokémon may cure its own status conditions by shedding its skin.
Compound Eyes,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Raises accuracy.
Compound Eyes,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The Pokémon’s accuracy is boosted.
Compound Eyes,"['Black', 'White', 'Black 2', 'White 2']",The Pokémon’s accuracy is boosted.
Compound Eyes,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Boosts the Pokémon’s accuracy.
Compound Eyes,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The Pokémon’s compound eyes boost its accuracy.
Compound Eyes,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The Pokémon’s compound eyes boost its accuracy.
Compound Eyes,"['Scarlet', 'Violet']",The Pokémon’s compound eyes boost its accuracy.
Tinted Lens,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Powers up “not very effective” moves.
Tinted Lens,"['Black', 'White', 'Black 2', 'White 2']",Powers up “not very effective” moves.
Tinted Lens,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Powers up “not very effective” moves.
Tinted Lens,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The Pokémon can use “not very effective” moves to deal regular damage. 
Tinted Lens,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The Pokémon can use “not very effective” moves to deal regular damage.
Tinted Lens,"['Scarlet', 'Violet']",The Pokémon can use “not very effective” moves to deal regular damage.
Swarm,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Ups BUG moves in a pinch.
Swarm,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Powers up Bug-type moves in a pinch.
Swarm,"['Black', 'White', 'Black 2', 'White 2']",Powers up Bug-type moves in a pinch.
Swarm,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Powers up Bug-type moves when the Pokémon is in trouble.
Swarm,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Powers up Bug-type moves when the Pokémon’s HP is low.
Swarm,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Powers up Bug-type moves when the Pokémon’s HP is low.
Swarm,"['Scarlet', 'Violet']",Powers up Bug-type moves when the Pokémon’s HP is low.
Sniper,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Powers up moves if they become critical hits.
Sniper,"['Black', 'White', 'Black 2', 'White 2']",Powers up moves if they become critical hits.
Sniper,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Powers up moves if they become critical hits.
Sniper,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Powers up moves if they become critical hits when attacking.
Sniper,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Powers up moves if they become critical hits when attacking.
Sniper,"['Scarlet', 'Violet']","If the Pokémon’s attack lands a critical hit, the attack is powered up even further."
Keen Eye,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Prevents loss of accuracy.
Keen Eye,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Prevents the Pokémon from losing accuracy.
Keen Eye,"['Black', 'White', 'Black 2', 'White 2']",Prevents other Pokémon from lowering accuracy.
Keen Eye,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Prevents other Pokémon from lowering accuracy.
Keen Eye,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Keen eyes prevent other Pokémon from lowering this Pokémon’s accuracy.
Keen Eye,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Keen eyes prevent other Pokémon from lowering this Pokémon’s accuracy.
Keen Eye,"['Scarlet', 'Violet']",The Pokémon’s keen eyes prevent its accuracy from being lowered.
Tangled Feet,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Raises evasion if the Pokémon is confused.
Tangled Feet,"['Black', 'White', 'Black 2', 'White 2']",Raises evasion if the Pokémon is confused.
Tangled Feet,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Raises evasion if the Pokémon is confused.
Tangled Feet,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Raises evasion if the Pokémon is confused.
Tangled Feet,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Raises evasiveness if the Pokémon is confused.
Tangled Feet,"['Scarlet', 'Violet']",Boosts the Pokémon’s evasiveness if it is confused.
Big Pecks,"['Black', 'White', 'Black 2', 'White 2']",Protects the Pokémon from Defense-lowering attacks.
Big Pecks,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Protects the Pokémon from Defense-lowering attacks.
Big Pecks,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Protects the Pokémon from Defense-lowering effects.
Big Pecks,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Protects the Pokémon from Defense-lowering effects.
Big Pecks,"['Scarlet', 'Violet']",Prevents the Pokémon from having its Defense stat lowered.
Guts,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Ups ATTACK if suffering.
Guts,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Boosts Attack if there is a status problem.
Guts,"['Black', 'White', 'Black 2', 'White 2']",Boosts Attack if there is a status problem.
Guts,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Boosts the Attack stat if the Pokémon has a status condition.
Guts,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",It’s so gutsy that having a status condition boosts the Pokémon’s Attack stat.
Guts,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",It’s so gutsy that having a status condition boosts the Pokémon’s Attack stat.
Guts,"['Scarlet', 'Violet']",It’s so gutsy that having a status condition boosts the Pokémon’s Attack stat.
Hustle,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Trades accuracy for power.
Hustle,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']","Boosts the Attack stat, but lowers accuracy."
Hustle,"['Black', 'White', 'Black 2', 'White 2']","Boosts the Attack stat, but lowers accuracy."
Hustle,"['X', 'Y', 'O.Ruby', 'A.Sapphire']","Boosts the Attack stat, but lowers accuracy."
Hustle,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","Boosts the Attack stat, but lowers accuracy."
Hustle,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","Boosts the Attack stat, but lowers accuracy."
Hustle,"['Scarlet', 'Violet']",Boosts the Pokémon’s Attack stat but lowers its accuracy.
Intimidate,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Lowers the foe’s ATTACK.
Intimidate,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Lowers the foe’s Attack stat.
Intimidate,"['Black', 'White', 'Black 2', 'White 2']",Lowers the foe’s Attack stat.
Intimidate,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Lowers the opposing Pokémon’s Attack stat.
Intimidate,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat."
Intimidate,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat."
Intimidate,"['Scarlet', 'Violet']","When the Pokémon enters a battle, it intimidates opposing Pokémon and makes them cower, lowering their Attack stats."
Unnerve,"['Black', 'White', 'Black 2', 'White 2']",Makes the foe nervous and unable to eat Berries.
Unnerve,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Unnerves opposing Pokémon and makes them unable to eat Berries.
Unnerve,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Unnerves opposing Pokémon and makes them unable to eat Berries.
Unnerve,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Unnerves opposing Pokémon and makes them unable to eat Berries.
Unnerve,"['Scarlet', 'Violet']",Unnerves opposing Pokémon and makes them unable to eat Berries.
Static,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Paralyzes on contact.
Static,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Contact with the Pokémon may cause paralysis.
Static,"['Black', 'White', 'Black 2', 'White 2']",Contact with the Pokémon may cause paralysis.
Static,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Contact with the Pokémon may cause paralysis.
Static,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","The Pokémon is charged with static electricity, so contact with it may cause paralysis."
Static,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","The Pokémon is charged with static electricity, so contact with it may cause paralysis."
Static,"['Scarlet', 'Violet']",The Pokémon is charged with static electricity and may paralyze attackers that make direct contact with it.
Lightning Rod,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Draws electrical moves.
Lightning Rod,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The Pokémon draws in all Electric-type moves.
Lightning Rod,"['Black', 'White', 'Black 2', 'White 2']",Draws in all Electric-type moves to up Sp. Attack.
Lightning Rod,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Draws in all Electric-type moves to boost its Sp. Atk stat.
Lightning Rod,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk."
Lightning Rod,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk."
Lightning Rod,"['Scarlet', 'Violet']","The Pokémon draws in all Electric-type moves. Instead of taking damage from them, its Sp. Atk stat is boosted."
Sand Veil,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Ups evasion in a sandstorm.
Sand Veil,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Boosts the Pokémon’s evasion in a sandstorm.
Sand Veil,"['Black', 'White', 'Black 2', 'White 2']",Boosts the Pokémon’s evasion in a sandstorm.
Sand Veil,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Boosts the Pokémon’s evasion in a sandstorm.
Sand Veil,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Boosts the Pokémon’s evasion in a sandstorm.
Sand Veil,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Boosts the Pokémon’s evasiveness in a sandstorm.
Sand Veil,"['Scarlet', 'Violet']",Boosts the Pokémon’s evasiveness in a sandstorm.
Sand Rush,"['Black', 'White', 'Black 2', 'White 2']",Boosts the Pokémon’s Speed in a sandstorm.
Sand Rush,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Boosts the Pokémon’s Speed stat in a sandstorm.
Sand Rush,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Boosts the Pokémon’s Speed stat in a sandstorm.
Sand Rush,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Boosts the Pokémon’s Speed stat in a sandstorm.
Sand Rush,"['Scarlet', 'Violet']",Boosts the Pokémon’s Speed stat in a sandstorm.
Poison Point,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Poisons foe on contact.
Poison Point,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Contact with the Pokémon may poison the foe.
Poison Point,"['Black', 'White', 'Black 2', 'White 2']",Contact with the Pokémon may poison the attacker.
Poison Point,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Contact with the Pokémon may poison the attacker.
Poison Point,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Contact with the Pokémon may poison the attacker.
Poison Point,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Contact with the Pokémon may poison the attacker.
Poison Point,"['Scarlet', 'Violet']",Contact with the Pokémon may poison the attacker.
Rivalry,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Raises Attack if the foe is of the same gender.
Rivalry,"['Black', 'White', 'Black 2', 'White 2']",Deals more damage to a Pokémon of same gender.
Rivalry,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Deals more damage to Pokémon of the same gender.
Rivalry,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender."
Rivalry,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender."
Rivalry,"['Scarlet', 'Violet']","The Pokémon’s competitive spirit makes it deal more damage to Pokémon of the same gender, but less damage to Pokémon of the opposite gender."
Sheer Force,"['Black', 'White', 'Black 2', 'White 2']",Removes added effects to increase move damage.
Sheer Force,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Removes additional effects to increase move damage.
Sheer Force,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Removes additional effects to increase the power of moves when attacking.
Sheer Force,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Removes additional effects to increase the power of moves when attacking.
Sheer Force,"['Scarlet', 'Violet']","Removes any additional effects from the Pokémon’s moves, but increases the moves’ power."
Cute Charm,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Infatuates on contact.
Cute Charm,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Contact with the Pokémon may cause infatuation.
Cute Charm,"['Black', 'White', 'Black 2', 'White 2']",Contact with the Pokémon may cause infatuation.
Cute Charm,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Contact with the Pokémon may cause infatuation.
Cute Charm,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Contact with the Pokémon may cause infatuation.
Cute Charm,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Contact with the Pokémon may cause infatuation.
Cute Charm,"['Scarlet', 'Violet']",The Pokémon may infatuate attackers that make direct contact with it.
Magic Guard,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The Pokémon only takes damage from attacks.
Magic Guard,"['Black', 'White', 'Black 2', 'White 2']",The Pokémon only takes damage from attacks.
Magic Guard,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The Pokémon only takes damage from attacks.
Magic Guard,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The Pokémon only takes damage from attacks.
Magic Guard,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The Pokémon only takes damage from attacks.
Magic Guard,"['Scarlet', 'Violet']",The Pokémon only takes damage from attacks.
Friend Guard,"['Black', 'White', 'Black 2', 'White 2']",Reduces damage done to allies.
Friend Guard,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Reduces damage done to allies.
Friend Guard,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Reduces damage done to allies.
Friend Guard,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Reduces damage done to allies.
Friend Guard,"['Scarlet', 'Violet']",Reduces damage dealt to allies.
Unaware,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Ignores any change in ability by the foe.
Unaware,"['Black', 'White', 'Black 2', 'White 2']",Ignores any stat changes in the Pokémon.
Unaware,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Ignores the opposing Pokémon’s stat changes.
Unaware,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","When attacking, the Pokémon ignores the target Pokémon’s stat changes."
Unaware,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","When attacking, the Pokémon ignores the target Pokémon’s stat changes."
Unaware,"['Scarlet', 'Violet']","When attacking, the Pokémon ignores the target’s stat changes."
Flash Fire,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Powers up if hit by fire.
Flash Fire,"['Diamond', 'Pearl', 'Platinum']",Powers up Fire-type moves if hit by a fire move.
Flash Fire,"['HeartGold', 'SoulSilver']",It powers up Fire-type moves if it’s hit by one.
Flash Fire,"['Black', 'White', 'Black 2', 'White 2']",It powers up Fire-type moves if it’s hit by one.
Flash Fire,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Powers up the Pokémon’s Fire-type moves if it’s hit by one.
Flash Fire,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Powers up the Pokémon’s Fire-type moves if it’s hit by one.
Flash Fire,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Powers up the Pokémon’s Fire-type moves if it’s hit by one.
Flash Fire,"['Scarlet', 'Violet']","If hit by a Fire-type move, the Pokémon absorbs the flames and uses them to power up its own Fire-type moves."
Drought,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Summons sunlight in battle.
Drought,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The Pokémon makes it sunny if it is in battle.
Drought,"['Black', 'White', 'Black 2', 'White 2']",Turns the sunlight harsh if it is in battle.
Drought,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Turns the sunlight harsh when the Pokémon enters a battle.
Drought,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Turns the sunlight harsh when the Pokémon enters a battle.
Drought,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Turns the sunlight harsh when the Pokémon enters a battle.
Drought,"['Scarlet', 'Violet']",Turns the sunlight harsh when the Pokémon enters a battle.
Competitive,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Boosts the Sp. Atk stat when a stat is lowered.
Competitive,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Boosts the Sp. Atk stat sharply when a stat is lowered.
Competitive,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Boosts the Sp. Atk stat sharply when a stat is lowered.
Competitive,"['Scarlet', 'Violet']",Boosts the Pokémon’s Sp. Atk stat sharply when its stats are lowered by an opposing Pokémon.
Frisk,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The Pokémon can check the foe’s held item.
Frisk,"['Black', 'White', 'Black 2', 'White 2']",The Pokémon can check a foe’s held item.
Frisk,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The Pokémon can check an opposing Pokémon’s held item.
Frisk,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","When it enters a battle, the Pokémon can check an opposing Pokémon’s held item."
Frisk,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","When it enters a battle, the Pokémon can check an opposing Pokémon’s held item."
Frisk,"['Scarlet', 'Violet']","When it enters a battle, the Pokémon can check an opposing Pokémon’s held item."
Inner Focus,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Prevents flinching.
Inner Focus,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The Pokémon is protected from flinching.
Inner Focus,"['Black', 'White', 'Black 2', 'White 2']",The Pokémon is protected from flinching.
Inner Focus,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Protects the Pokémon from flinching.
Inner Focus,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","The Pokémon’s intensely focused, and that protects the Pokémon from flinching."
Inner Focus,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","The Pokémon’s intensely focused, and that protects the Pokémon from flinching."
Inner Focus,"['Scarlet', 'Violet']",The Pokémon’s intense focus prevents it from flinching or being affected by Intimidate.
Infiltrator,"['Black', 'White', 'Black 2', 'White 2']",Passes through the foe’s barrier and strikes.
Infiltrator,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Passes through the opposing Pokémon’s barrier and strikes.
Infiltrator,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","Passes through the opposing Pokémon’s barrier, substitute, and the like and strikes."
Infiltrator,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","Passes through the opposing Pokémon’s barrier, substitute, and the like and strikes."
Infiltrator,"['Scarlet', 'Violet']","The Pokémon’s moves are unaffected by the target’s barriers, substitutes, and the like."
Stench,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Helps repel wild POKéMON.
Stench,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The stench helps keep wild Pokémon away.
Stench,"['Black', 'White', 'Black 2', 'White 2']",The stench may cause the target to flinch.
Stench,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The stench may cause the target to flinch.
Stench,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","By releasing stench when attacking, this Pokémon may cause the target to flinch."
