name,game,description
Absorb Bulb,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']",An item to be held by a Pokémon. It boosts Sp. Atk if the holder is hit with a Water-type attack. It can only be used once.
Absorb Bulb,"['Scarlet', 'Violet']",An item to be held by a Pokémon. This single-use bulb boosts the Sp. Atk stat if the holder is damaged by a Water-type attack.
Academy Ball,"['Scarlet', 'Violet']","The academy’s standard-issue ball in a regulation size. Lots of students believe that if you kick it right on the academy emblem, it’ll fly in a straight line."
Academy Bottle,"['Scarlet', 'Violet']","A bottle emblazoned with the academy’s emblem. It’s light, sturdy, and vacuum insulated, so it’ll keep your hots hot and your colds cold."
Academy Cup,"['Scarlet', 'Violet']",The academy’s standard-issue cup for picnicking. The careful design of its mouth makes it popular both inside and outside the academy.
Academy Tablecloth,"['Scarlet', 'Violet']",The academy’s standard-issue tablecloth. It’s made with the latest fiber-processing technology and is so tough that not even a Razor Claw can tear it.
Adamant Crystal,['Arceus'],"When used on Dialga, this large, glowing gem wells with power and allows the Pokémon to change form."
Adamant Crystal,"['Scarlet', 'Violet']","An item to be held by Dialga. This large, glowing gem wells with power and allows the Pokémon to change form."
Adamant Mint,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']","When a Pokémon smells this mint, its Attack will grow more easily, but its Sp. Atk will grow more slowly."
Adamant Mint,"['Scarlet', 'Violet']","Having a Pokémon smell this mint can make its Attack stat grow stronger. However, its Sp. Atk stat may suffer."
Adamant Orb,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",A brightly gleaming orb to be held by DIALGAlpha  It boosts the power of Dragon- and Steel-type moves.
Adamant Orb,"['Black', 'White', 'Black 2', 'White 2']",A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves.
Adamant Orb,"['X', 'Y', 'Omega Ruby', 'Alpha Sapphire']",A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves when it is held.
Adamant Orb,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves when it is held.
Adamant Orb,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']",A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves when it is held.
Adamant Orb,"['Scarlet', 'Violet']",A brightly shining gem to be held by Dialga. It boosts the power of Dialga’s Dragon- and Steel-type moves.
Adrenaline Orb,"['Sun', 'Moon']","Using it makes wild Pokémon more likely to call for help. If held by a Pokémon, it boosts Speed when intimidated. It can be used only once."
Adrenaline Orb,"['Ultra Sun', 'Ultra Moon']","Using it makes wild Pokémon call for help a number of times. If held by a Pokémon, it boosts Speed when intimidated. It can be used only once."
Adrenaline Orb,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']","If held by a Pokémon, it boosts Speed when intimidated."
Adrenaline Orb,"['Scarlet', 'Violet']",An item to be held by a Pokémon. This orb boosts the Speed stat if the holder is intimidated.
Aerodactylite,"['X', 'Y', 'Omega Ruby', 'Alpha Sapphire']","One variety of the mysterious Mega Stones. Have Aerodactyl hold it, and this stone will enable it to Mega Evolve during battle."
Aerodactylite,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","One of a variety of mysterious Mega Stones. Have Aerodactyl hold it, and this stone will enable it to Mega Evolve during battle."
Aerodactylite,"['Let\'s Go Pikachu!', 'Let\'s Go Eevee!']",One of a variety of mysterious Mega Stones. This stone will enable Aerodactyl to Mega Evolve during battle.
Aerodactylite,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']","One of a variety of mysterious Mega Stones. Have Aerodactyl hold it, and this stone will enable it to Mega Evolve during battle."
Aerodactylite,"['Scarlet', 'Violet']","One of a variety of mysterious Mega Stones. Have Aerodactyl hold it, and this stone will enable it to Mega Evolve during battle."
Aggronite,"['X', 'Y', 'Omega Ruby', 'Alpha Sapphire']","One variety of the mysterious Mega Stones. Have Aggron hold it, and this stone will enable it to Mega Evolve during battle."
Aggronite,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","One of a variety of mysterious Mega Stones. Have Aggron hold it, and this stone will enable it to Mega Evolve during battle."
Aggronite,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']","One of a variety of mysterious Mega Stones. Have Aggron hold it, and this stone will enable it to Mega Evolve during battle."
Aggronite,"['Scarlet', 'Violet']","One of a variety of mysterious Mega Stones. Have Aggron hold it, and this stone will enable it to Mega Evolve during battle."
Aguav Berry,"['Ruby', 'Sapphire', 'Emerald']",A hold item that restores HP but may confuse.
Aguav Berry,"['FireRed', 'LeafGreen']",A hold item that restores HP but may cause confusion when used.
Aguav Berry,"['Diamond', 'Pearl', 'Platinum']","A Poffin ingredient. If held by a Pokémon, it restores the user’s HP in a pinch, but may also cause confusion."
Aguav Berry,"['HeartGold', 'SoulSilver']","If held by a Pokémon, it restores the user’s HP in a pinch, but will cause confusion if it hates bitter food."
Aguav Berry,"['Black', 'White', 'Black 2', 'White 2']","If held by a Pokémon, it restores the user’s HP in a pinch, but will cause confusion if it hates the taste."
Aguav Berry,"['X', 'Y', 'Omega Ruby', 'Alpha Sapphire']","If held by a Pokémon, it restores the user’s HP in a pinch, but it will cause confusion if the user hates the taste."
Aguav Berry,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","If held by a Pokémon, it restores the user’s HP in a pinch, but it will cause confusion if the user hates the taste."
Aguav Berry,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']","If held by a Pokémon, it restores the user’s HP in a pinch, but it will cause confusion if the user hates the taste."
Aguav Berry,"['Scarlet', 'Violet']","If a Pokémon holds one of these Berries, it will be able to restore some HP should it find itself in a pinch. But it will become confused if it hates the Berry’s taste."
Air Balloon,"['Black', 'White', 'Black 2', 'White 2']","When held by a Pokémon, the Pokémon will float into the air. When the holder is attacked, this item will burst."
Air Balloon,"['X', 'Y', 'Omega Ruby', 'Alpha Sapphire']","An item to be held by a Pokémon. The holder will float in the air until hit. Once hit, this item will burst."
Air Balloon,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","An item to be held by a Pokémon. The holder will float in the air until hit. Once hit, this item will burst."
Air Balloon,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']","An item to be held by a Pokémon. The holder will float in the air until hit. Once the holder is hit, this item will burst."
Air Balloon,"['Scarlet', 'Violet']","An item to be held by a Pokémon. This balloon makes the holder float in the air. If the holder is hit with an attack, the balloon will burst."
Alakazite,"['X', 'Y', 'Omega Ruby', 'Alpha Sapphire']","One variety of the mysterious Mega Stones. Have Alakazam hold it, and this stone will enable it to Mega Evolve during battle."
Alakazite,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","One of a variety of mysterious Mega Stones. Have Alakazam hold it, and this stone will enable it to Mega Evolve during battle."
Alakazite,"['Let\'s Go Pikachu!', 'Let\'s Go Eevee!']",One of a variety of mysterious Mega Stones. This stone will enable Alakazam to Mega Evolve during battle.
Alakazite,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']","One of a variety of mysterious Mega Stones. Have Alakazam hold it, and this stone will enable it to Mega Evolve during battle."
Alakazite,"['Scarlet', 'Violet']","One of a variety of mysterious Mega Stones. Have Alakazam hold it, and this stone will enable it to Mega Evolve during battle."
Alomomola Mucus,"['Scarlet', 'Violet']",Material accidentally dropped by a Pokémon. It can be used to make TMs.
Aloraichium Z,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",It converts Z-Power into crystals that upgrade Alolan Raichu’s Thunderbolt to an exclusive Z-Move.
Aloraichium Z,"['Sword', 'Shield']",It converts Z-Power into crystals that upgrade Alolan Raichu’s Thunderbolt to an exclusive Z-Move.
Aloraichium Z,"['Brilliant Diamond', 'Shining Pearl']",This is a crystallized form of Z-Power. It upgrades Alolan Raichu’s Thunderbolt to a Z-Move.
Aloraichium Z,"['Scarlet', 'Violet']",This is a crystallized form of Z-Power. It upgrades Alolan Raichu’s Thunderbolt to a Z-Move.
Altarianite,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","One of a variety of mysterious Mega Stones. Have Altaria hold it, and this stone will enable it to Mega Evolve during battle."
Altarianite,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']","One of a variety of mysterious Mega Stones. Have Altaria hold it, and this stone will enable it to Mega Evolve during battle."
Altarianite,"['Scarlet', 'Violet']","One of a variety of mysterious Mega Stones. Have Altaria hold it, and this stone will enable it to Mega Evolve during battle."
Ampharosite,"['X', 'Y', 'Omega Ruby', 'Alpha Sapphire']","One variety of the mysterious Mega Stones. Have Ampharos hold it, and this stone will enable it to Mega Evolve during battle."
Ampharosite,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","One of a variety of mysterious Mega Stones. Have Ampharos hold it, and this stone will enable it to Mega Evolve during battle."
Ampharosite,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']","One of a variety of mysterious Mega Stones. Have Ampharos hold it, and this stone will enable it to Mega Evolve during battle."
Ampharosite,"['Scarlet', 'Violet']","One of a variety of mysterious Mega Stones. Have Ampharos hold it, and this stone will enable it to Mega Evolve during battle."
Amulet Coin,"['Ruby', 'Sapphire', 'Emerald']",Doubles money in battle if the holder takes part.
Amulet Coin,"['FireRed', 'LeafGreen']",An item to be held by a POKéMON. It doubles the battle money if the holding POKéMON takes part.
Amulet Coin,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",An item to be held by a Pokémon. It doubles a battle’s prize money if the holding Pokémon joins in.
Amulet Coin,"['Black', 'White', 'Black 2', 'White 2']",An item to be held by a Pokémon. It doubles a battle’s prize money if the holding Pokémon joins in.
Amulet Coin,"['X', 'Y', 'Omega Ruby', 'Alpha Sapphire']",An item to be held by a Pokémon. It doubles any prize money received if the holding Pokémon joins a battle.
Amulet Coin,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",An item to be held by a Pokémon. It doubles any prize money received if the holding Pokémon joins a battle.
Amulet Coin,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']",An item to be held by a Pokémon. It doubles any prize money received if the holding Pokémon joins a battle.
Amulet Coin,"['Scarlet', 'Violet']",An item to be held by a Pokémon. It doubles any prize money received as long as the holder joins the battle at least once.
Antidote,"['Ruby', 'Sapphire', 'Emerald']",Heals a poisoned POKéMON.
Antidote,"['FireRed', 'LeafGreen']",A spray-type medicine. It heals one POKéMON from a poisoning.
Antidote,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",A spray-type medicine. It lifts the effect of poison from one Pokémon.
Antidote,"['Black', 'White', 'Black 2', 'White 2']",A spray-type medicine. It lifts the effect of poison from one Pokémon.
Antidote,"['X', 'Y', 'Omega Ruby', 'Alpha Sapphire']",A spray-type medicine for poisoning. It can be used once to lift the effects of being poisoned from a Pokémon.
Antidote,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",A spray-type medicine for poisoning. It can be used once to lift the effects of being poisoned from a Pokémon.
Antidote,"['Let\'s Go Pikachu!', 'Let\'s Go Eevee!']",A spray-type medicine for treating poisoning. It can be used to lift the effects of being poisoned from a single Pokémon.
Antidote,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']",A spray-type medicine for treating poisoning. It can be used to lift the effects of being poisoned from a single Pokémon.
Antidote,"['Scarlet', 'Violet']",A spray-type medicine for treating poisoning. It can be used to lift the effects of being poisoned from a Pokémon.
Apicot Berry,"['Ruby', 'Sapphire', 'Emerald']",A hold item that raises SP. DEF in a pinch.
Apicot Berry,"['FireRed', 'LeafGreen']","When held by a POKéMON, it raises the SP. DEF stat in a pinch."
Apicot Berry,"['Diamond', 'Pearl', 'Platinum']","A Poffin ingredient. If held by a Pokémon, it raises its Sp. Def stat in a pinch."
Apicot Berry,"['HeartGold', 'SoulSilver']","If held by a Pokémon, it raises its Sp. Def stat in a pinch."
Apicot Berry,"['Black', 'White', 'Black 2', 'White 2']","If held by a Pokémon, it raises its Sp. Def stat in a pinch."
Apicot Berry,"['X', 'Y', 'Omega Ruby', 'Alpha Sapphire']","A Berry to be consumed by Pokémon. If a Pokémon holds one, its Sp. Def stat will increase when it’s in a pinch."
Apicot Berry,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","A Berry to be consumed by Pokémon. If a Pokémon holds one, its Sp. Def stat will increase when it’s in a pinch."
Apicot Berry,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']","A Berry to be consumed by Pokémon. If a Pokémon holds one, its Sp. Def stat will increase when it’s in a pinch."
Apicot Berry,"['Scarlet', 'Violet']","If a Pokémon holds one of these Berries, its Sp. Def stat will be boosted should it find itself in a pinch."
Apple,"['Scarlet', 'Violet']",This very sweet ingredient is sliced thin to make it easy to add into a sandwich.
Applin Juice,"['Scarlet', 'Violet']",Material accidentally dropped by a Pokémon. It can be used to make TMs.
Apricorn,['Arceus'],A fruit whose shell can be used to form the capsules of all manner of Poké Balls when crafting them from scratch. Its proper name is actually “Brown Apricorn.”
Apricorn,"['Scarlet', 'Violet']",A fruit whose shell can be used to form the capsules of all manner of Poké Balls when crafting them from scratch. Its proper name is actually “Brown Apricorn.”
Armor Fossil,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a collar.
Armor Fossil,"['Black', 'White', 'Black 2', 'White 2']",A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a collar.
Armor Fossil,"['X', 'Y', 'Omega Ruby', 'Alpha Sapphire']",A fossil from a prehistoric Pokémon that once lived on the land. It looks to be from some kind of protective collar.
Armor Fossil,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",A fossil from a prehistoric Pokémon that once lived on the land. It looks to be from some kind of protective collar.
Armor Fossil,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']",A fossil from a prehistoric Pokémon that once lived on the land. It looks to be from some kind of protective collar.
Armor Fossil,"['Scarlet', 'Violet']",A fossil from a prehistoric Pokémon that once lived on the land. It looks to be from some kind of protective collar.
Armorite Ore,"['Brilliant Diamond', 'Shining Pearl']",Rare ore that can be obtained on the Isle of Armor. Something good will happen if you give it to a collector on the Isle of Armor.
Armorite Ore,"['Scarlet', 'Violet']",Rare ore that can be obtained on the Isle of Armor. Something good will happen if you give it to a collector on the Isle of Armor.
Arrokuda Scales,"['Scarlet', 'Violet']",Material accidentally dropped by a Pokémon. It can be used to make TMs.
Aspear Berry,"['Ruby', 'Sapphire', 'Emerald']",A hold item that defrosts POKéMON in battle.
Aspear Berry,"['FireRed', 'LeafGreen']","When held by a POKéMON, it will be used in battle for defrosting."
Aspear Berry,"['Diamond', 'Pearl', 'Platinum']",A Poffin ingredient. It may be used or held by a Pokémon to defrost it. 
Aspear Berry,"['HeartGold', 'SoulSilver']",It may be used or held by a Pokémon to defrost it. 
Aspear Berry,"['Black', 'White', 'Black 2', 'White 2']","If held by a Pokémon, it defrosts it."
Aspear Berry,"['X', 'Y', 'Omega Ruby', 'Alpha Sapphire']","A Berry to be consumed by Pokémon. If a Pokémon holds one, it can recover from being frozen on its own in battle."
Aspear Berry,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","A Berry to be consumed by Pokémon. If a Pokémon holds one, it can recover from being frozen on its own in battle."
Aspear Berry,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']","A Berry to be consumed by Pokémon. If a Pokémon holds one, it can recover from being frozen on its own in battle."
Aspear Berry,"['Scarlet', 'Violet']","If a Pokémon holds one of these Berries, it will be able to thaw itself after being frozen."
Assault Vest,"['X', 'Y', 'Omega Ruby', 'Alpha Sapphire']",An item to be held by a Pokémon. This offensive vest raises Sp. Def but prevents the use of status moves.
Assault Vest,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",An item to be held by a Pokémon. This offensive vest raises Sp. Def but prevents the use of status moves.
Assault Vest,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']",An item to be held by a Pokémon. This offensive vest raises Sp. Def but prevents the use of status moves.
Assault Vest,"['Scarlet', 'Violet']",An item to be held by a Pokémon. This offensive vest boosts the holder’s Sp. Def stat but prevents the use of status moves.
Audinite,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","One of a variety of mysterious Mega Stones. Have Audino hold it, and this stone will enable it to Mega Evolve during battle."
Audinite,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']","One of a variety of mysterious Mega Stones. Have Audino hold it, and this stone will enable it to Mega Evolve during battle."
Audinite,"['Scarlet', 'Violet']","One of a variety of mysterious Mega Stones. Have Audino hold it, and this stone will enable it to Mega Evolve during battle."
Auspicious Armor,"['Scarlet', 'Violet']",A peculiar set of armor that can make a certain species of Pokémon evolve. Auspicious wishes live within it.
Aux Evasion,['Arceus'],An item that makes moves less likely to strike a Pokémon during a battle. This effect disappears if the Pokémon leaves the battle.
Aux Evasion,"['Scarlet', 'Violet']",A recipe for crafting Aux Evasions from scratch. Required materials: 2 bunches of Doppel Bonnets and 1 Candy Truffle.
Aux Guard,['Arceus'],An item that sharply boosts the defensive stats of a Pokémon during a battle. These effects disappear if the Pokémon leaves the battle.
Aux Guard,"['Scarlet', 'Violet']",A recipe for crafting Aux Guards from scratch. Required materials: 2 scraps of Iron Barktongue and 1 Pep-Up Plant.
Aux Power,['Arceus'],An item that sharply boosts the offensive stats of a Pokémon during a battle. These effects disappear if the Pokémon leaves the battle.
Aux Power,"['Scarlet', 'Violet']",A recipe for crafting Aux Powers from scratch. Required materials: 2 bunches of Swordcap and 1 Pep-Up Plant.
Aux Powerguard,['Arceus'],An item that sharply boosts the offensive and defensive stats of a Pokémon during a battle. These effects disappear if the Pokémon leaves the battle.
Aux Powerguard,"['Scarlet', 'Violet']",An item that sharply boosts the offensive and defensive stats of a Pokémon in battle. These effects disappear if the Pokémon leaves the battle.
Avocado,"['Scarlet', 'Violet']","An ingredient with sweet notes—though its flavor is very mild. The avocado’s richness, however, makes it satisfying to eat."
Awakening,"['Ruby', 'Sapphire', 'Emerald']",Awakens a sleeping POKéMON.
Awakening,"['FireRed', 'LeafGreen']",A spray-type medicine. It awakens a sleeping POKéMON.
Awakening,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",A spray-type medicine. It awakens a Pokémon from the clutches of sleep.
Awakening,"['Black', 'White', 'Black 2', 'White 2']",A spray-type medicine. It awakens a Pokémon from the clutches of sleep.
Awakening,"['X', 'Y', 'Omega Ruby', 'Alpha Sapphire']",A spray-type medicine used against sleep. It can be used once to rouse a Pokémon from the clutches of sleep.
Awakening,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",A spray-type medicine used against sleep. It can be used once to rouse a Pokémon from the clutches of sleep.
Awakening,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']",A spray-type medicine to wake the sleeping. It can be used to rouse a single Pokémon from the clutches of sleep.
Awakening,"['Scarlet', 'Violet']",A spray-type medicine to wake the sleeping. It can be used to rouse a Pokémon from the clutches of sleep.
Axew Scales,"['Scarlet', 'Violet']",Material accidentally dropped by a Pokémon. It can be used to make TMs.
Azurill Fur,"['Scarlet', 'Violet']",Material accidentally dropped by a Pokémon. It can be used to make TMs.
Babiri Berry,"['Diamond', 'Pearl', 'Platinum']","A Poffin ingredient. If held by a Pokémon, it weakens a foe’s supereffective Steel-type attack."
Babiri Berry,"['HeartGold', 'SoulSilver']","If held by a Pokémon, it weakens a foe’s supereffective Steel-type attack."
Babiri Berry,"['Black', 'White', 'Black 2', 'White 2']",Weakens a supereffective Steel-type attack against the holding Pokémon.
Babiri Berry,"['X', 'Y', 'Omega Ruby', 'Alpha Sapphire']","If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Steel-type attack."
Babiri Berry,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Steel-type attack."
Babiri Berry,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']","If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Steel-type attack."
Babiri Berry,"['Scarlet', 'Violet']","If a Pokémon holding this Berry is hit with a supereffective Steel-type move, the power of that move will be weakened."
Bach's Food Tin,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']",One of the many ingredients that can be used for cooking at your camp. The tinned food that Bach sells is curiously popular in Galar.
Bach's Food Tin,"['Scarlet', 'Violet']",One of the many ingredients that can be used for cooking at your camp. The tinned food that Bach sells is curiously popular in Galar.
Bacon,"['Scarlet', 'Violet']","This very salty ingredient has been cooked just shy of charred, making it burst with fragrance and tasty flavor."
Bagon Scales,"['Scarlet', 'Violet']",Material accidentally dropped by a Pokémon. It can be used to make TMs.
Baguette,"['Scarlet', 'Violet']","A long loaf sliced into top and bottom halves. Its aroma of wheat and its straightforward, salty flavor make it pair well with all kinds of sandwich ingredients."
Ball of Mud,['Arceus'],"A ball of mud that has become stiff and hard. Hitting a Pokémon with one may stun the Pokémon, creating an opening for you to act."
Ball of Mud,"['Scarlet', 'Violet']","A ball of mud that has become stiff and hard. Hitting a Pokémon with one may stun the Pokémon, creating an opening for you to act."
Balm Mushroom,"['Black', 'White', 'Black 2', 'White 2']",A rare mushroom which gives off a nice fragrance. A maniac will buy it for a high price.
Balm Mushroom,"['X', 'Y', 'Omega Ruby', 'Alpha Sapphire']",A rare mushroom that gives off a nice fragrance. It can be sold at a high price to shops.
Balm Mushroom,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",A rare mushroom that gives off a nice fragrance. It can be sold at a high price to shops.
Balm Mushroom,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']",A rare mushroom that gives off a nice fragrance. It can be sold at a high price to shops.
Balm Mushroom,"['Scarlet', 'Violet']",A rare mushroom that gives off a nice fragrance. It can be sold at a high price to shops.
Banana,"['Scarlet', 'Violet']","A very sweet ingredient. This go-to fruit is sweet and rich, and it’s beloved by many Pokémon."
Banettite,"['X', 'Y', 'Omega Ruby', 'Alpha Sapphire']","One variety of the mysterious Mega Stones. Have Banette hold it, and this stone will enable it to Mega Evolve during battle."
Banettite,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","One of a variety of mysterious Mega Stones. Have Banette hold it, and this stone will enable it to Mega Evolve during battle."
Banettite,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']","One of a variety of mysterious Mega Stones. Have Banette hold it, and this stone will enable it to Mega Evolve during battle."
Banettite,"['Scarlet', 'Violet']","One of a variety of mysterious Mega Stones. Have Banette hold it, and this stone will enable it to Mega Evolve during battle."
Barboach Slime,"['Scarlet', 'Violet']",Material accidentally dropped by a Pokémon. It can be used to make TMs.
Barred Cup,"['Scarlet', 'Violet']","A cup that’s as good for using at home as on a picnic. It’s light, sturdy, and stacks well, so it’s a cinch to pack up and carry around."
Basculin Fang,"['Scarlet', 'Violet']",Material accidentally dropped by a Pokémon. It can be used to make TMs.
Basil,"['Scarlet', 'Violet']","A very bitter ingredient that’s quite versatile, as herbs go. It’s fragrant and goes well with tomatoes."
Battle Tablecloth,"['Scarlet', 'Violet']","A garish, eye-catching tablecloth. Putting this on your picnic table will inspire any person or Pokémon who eats there to do their best."
Beach Glass,"['Let\'s Go Pikachu!', 'Let\'s Go Eevee!']",A piece of colored glass. Waves have rounded its edges. It’s slightly rough to the touch.
Beach Glass,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']",A piece of colored glass. Waves have rounded its edges. It’s slightly rough to the touch.
Beach Glass,"['Scarlet', 'Violet']",A piece of colored glass. Waves have rounded its edges. It’s slightly rough to the touch.
Bean Cake,['Arceus'],"A cake made by combining beans with a Cake-Lure Base. These cakes are potently effective at attracting fish Pokémon, as well as bird Pokémon and their flying ilk."
Bean Cake,"['Scarlet', 'Violet']",A recipe for crafting Bean Cakes from scratch. Required materials: 1 pod of Plump Beans and 1 Cake-Lure Base.
Beast Ball,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",A special Poké Ball designed to catch Ultra Beasts. It has a low success rate for catching others.
Beast Ball,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']",A somewhat different Poké Ball that has a low success rate for catching a Pokémon.
Beast Ball,"['Scarlet', 'Violet']",A somewhat different Poké Ball that is not very effective when catching Pokémon.
