name,effect,cathegory
Azurill Fur,"Material obtained after defeating/catching Azurill, used in TM crafting.",General items
Babiri Berry,Weakens a supereffective Steel-type attack against the holding Pokémon.,Berries
Bach's Food Tin,One of the many ingredients that can be used for cooking at your camp. The tinned food that Bach sells is curiously popular in Galar.,General items
Bacon,"This very salty ingredient has been cooked just shy of charred, making it burst with fragrance and tasty flavor.",
Bagon Scales,"Material obtained after defeating/catching Bagon, used in TM crafting.",General items
Baguette,"A long loaf sliced into top and bottom halves. Its aroma of wheat and its straightforward, salty flavor make it pair well with all kinds of sandwich ingredients.",
Ball of Mud,,General items
Balm Mushroom,A rare mushroom which gives off a nice fragrance. A maniac will buy it for a high price.,General items
Banana,"A very sweet ingredient. This go-to fruit is sweet and rich, and it’s beloved by many Pokémon.",
Banettite,Enables Banette to Mega Evolve during battle.,Hold items
Barboach Slime,"Material obtained after defeating/catching Barboach, used in TM crafting.",General items
Barred Cup,"A cup that’s as good for using at home as on a picnic. It’s light, sturdy, and stacks well, so it’s a cinch to pack up and carry around.",
Basculin Fang,"Material obtained after defeating/catching Basculin, used in TM crafting.",General items
Basil,"A very bitter ingredient that’s quite versatile, as herbs go. It’s fragrant and goes well with tomatoes.",
Battle Tablecloth,"A garish, eye-catching tablecloth. Putting this on your picnic table will inspire any person or Pokémon who eats there to do their best.",
Beach Glass,A piece of colored glass. Waves have rounded its edges. It's slightly rough to the touch.,General items
Bean Cake,,General items
Beast Ball,A special Poké Ball designed to catch Ultra Beasts. It has a low success rate for catching others.,Pokeballs
Beedrillite,Enables Beedrill to Mega Evolve during battle.,Hold items
Belue Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,Berries
Bergmite Ice,"Material obtained after defeating/catching Bergmite, used in TM crafting.",General items
Berry Juice,Restores 20 HP.,Medicine
Berry Sweet,Evolves Milcery into Blueberry Flavor Alcremie.,Hold items
Big Bamboo Shoot,A large and rare bamboo shoot. It’s extremely popular with a certain class of gourmands.,
Big Malasada,Heals all major status conditions.,Medicine
Big Mushroom,A large and rare mushroom. It is sought after by collectors.,General items
Big Nugget,A big nugget of pure gold that gives off a lustrous gleam. A maniac will buy it for a high price.,General items
Big Pearl,A quite-large pearl that sparkles in a pretty silver color. It can be sold at a high price to shops.,General items
Big Root,Recovers more HP from HP-stealing moves.,Hold items
Binding Band,A band that increases the power of binding moves when held.,Hold items
Bitter Herba Mystica,"A legendary condiment with a deeply bitter taste. It’s said to dramatically bolster a body’s immune defenses, though that hasn’t been proven.",
Black Apricorn,A black Apricorn It has an indescribable scent.,General items
Black Augurite,A glassy black stone that produces a sharp cutting edge when split. It’s loved by a certain Pokémon.,General items
Black Belt,Increases the power of Fighting-type moves.,Hold items
Black Flute,A toy flute made from black glass. A maniac will buy it for a high price.,General items
Black Glasses,Increases the power of Dark-type moves.,Hold items
Black Sludge,A held item that gradually restores the HP of Poison-type Pokémon. It inflicts damage on all other types.,Hold items
Black Tumblestone,,General items
Blank Plate,,Hold items
Blastoisinite,Enables Blastoise to Mega Evolve during battle.,Hold items
Blazikenite,Enables Blaziken to Mega Evolve during battle.,Hold items
Blue Apricorn,A blue Apricorn. It smells a bit like grass.,General items
Blue Bottle,A go-to bottle widely used for drinks at picnics. Its simple design and portability make it popular among all sorts of people.,
Blue Cup,"A cup sold with the Blue Bottle. The two don’t stack, so they’re tough to pack—but they look good, so they’re popular with those who like to post picnic photos.",
Blue Dish,A dish for picnics. Comes in plenty of colors to choose from based on the food or the mood. The blue variety is a consistent strong seller.,
Blue-Flag Pick,"This pick flies a blue flag that lends an air of adventure. The flag itself is made of card stock, so it’ll fly proudly even with no wind.",
Blue Flute,A toy flute made from blue glass. A maniac will buy it for a high price.,General items
Blue Poké Ball Pick,A sandwich pick with a simple blue Poké Ball design. Often used by Trainers who picked a Water-type Pokémon for their first partner.,
Blue Scarf,Raises holder's Beauty aspect in a Contest.,General items
Blue Shard,A small blue shard. It appears to be from some sort of implement made long ago.,General items
Blue-Sky Flower Pick,A flower pick designed to evoke a blue sky. It’s part of a line of “sky-flower” picks. Using a few is guaranteed to boost that special picnic spirit.,
Blue Tablecloth,"A simple blue tablecloth. It’s smooth and pleasant to the touch, and dishes can be placed on it with hardly a sound.",
Bluk Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,Berries
Blunder Policy,Raises Speed sharply if its attack misses.,Hold items
Bob's Food Tin,One of the many ingredients that can be used for cooking at your camp. The tinned food that Bob sells is curiously popular in Galar.,General items
Boiled Egg,One of the many ingredients that can be used for cooking at your camp. Even just one boiled egg can really enhance a dish.,General items
Bold Mint,Changes the Pokémon's stats to match the Bold nature.,Battle items
Bombirdier Feather,"Material obtained after defeating/catching Bombirdier, used in TM crafting.",General items
Bonsly Tears,"Material obtained after defeating/catching Bonsly, used in TM crafting.",General items
Booster Energy,An item to be held by Pokémon with certain Abilities. The energy that fills this capsule boosts the strength of the Pokémon.,
Bottle Cap,Maximizes one IV stat in Hyper Training.,General items
Bounsweet Sweat,"Material obtained after defeating/catching Bounsweet, used in TM crafting.",General items
Bramblin Twig,"Material obtained after defeating/catching Bramblin, used in TM crafting.",General items
Brave Mint,Changes the Pokémon's stats to match the Brave nature.,Battle items
Bread,One of the many ingredients that can be used for cooking at your camp. An indispensable tool for mopping up that extra curry left on your plate.,General items
Bright Powder,Lowers the opponent's accuracy.,Hold items
Brittle Bones,One of the many ingredients that can be used for cooking at your camp. The taste boiled off from the bones is sure to give a dish a light umami taste.,General items
Bronze Bottle,"A popular option among hikers. It’s made with titanium, so it doesn’t rust even if it’s used to hold drinks with high sodium content.",
Bronze Cup,"A popular option among hikers. It’s made with titanium, so it doesn’t rust even if it’s used to hold drinks with high sodium content.",
Bronzor Fragment,"Material obtained after defeating/catching Bronzor, used in TM crafting.",General items
Bruxish Tooth,"Material obtained after defeating/catching Bruxish, used in TM crafting.",General items
Bug Gem,Increases the power of a Bug-type move only once.,Hold items
Bug Memory,Changes Silvally and its move Multi-Attack to Bug type.,Hold items
Bug Tera Shard,Changes a Pokémon's Tera Type to Bug.,
Buginium Z,"Allows the use of Savage Spin-Out, the Bug type Z-Move.",Hold items
Bugwort,,General items
Buizel Fur,"Material obtained after defeating/catching Buizel, used in TM crafting.",General items
Burn Drive,Changes Techno Blast to a Fire-type move when held by Genesect.,Hold items
Burn Heal,Cures a Pokémon of a burn.,Medicine
Butter,A condiment that unites salty and sweet and also packs a richness that makes bread a delight to eat. The finest butter products are made of 100 percent Moomoo Milk.,
B&W Grass Tablecloth,"A tablecloth with a fun, trendy black-and-white design featuring Pokémon that seem poised to leap from the tall grass at any moment.",
Cacnea Needle,"Material obtained after defeating/catching Cacnea, used in TM crafting.",General items
Cake-Lure Base,,General items
Calcium,Increases Special Attack EVs by 10.,Medicine
Calm Mint,Changes the Pokémon's stats to match the Calm nature.,Battle items
Cameruptite,Enables Camerupt to Mega Evolve during battle.,Hold items
Candy Truffle,,General items
Capsakid Seed,"Material obtained after defeating/catching Capsakid, used in TM crafting.",General items
Carbos,Increases Speed EVs by 10.,Medicine
Careful Mint,Changes the Pokémon's stats to match the Careful nature.,Battle items
Carrot Seeds,Seeds to plant in a field. The kind of carrot you’ll get is determined by which field you plant the seeds in.,General items
Casteliacone,Heals all major status conditions.,Medicine
Caster Fern,,General items
Cell Battery,"A consumable battery. If the holder is hit by an Electric-type move, its Attack will rise.",Hold items
Cetoddle Grease,"Material obtained after defeating/catching Cetoddle, used in TM crafting.",General items
Chalky Stone,A small whitish stone picked up at the edge of the road.,General items
Charcadet Soot,"Material obtained after defeating/catching Charcadet, used in TM crafting.",General items
Charcoal,Increases the power of Fire-type moves.,Hold items
Charizardite X,Enables Charizard to Mega Evolve during battle.,Hold items
Charizardite Y,Enables Charizard to Mega Evolve during battle.,Hold items
Charti Berry,Weakens a supereffective Rock-type attack against the holding Pokémon.,Berries
Cheese,A very salty ingredient. This thinly sliced cheese is perfect for adding to a sandwich.,
Cheri Berry,"If held by a Pokémon, it recovers from paralysis.",Berries
Cherish Ball,Rre Poké Ball used for event Pokémon.,Pokeballs
Cherry Tomatoes,"A very tart ingredient. Some varieties are also very sweet, and these are prized above all others by the people of Paldea.",
Chesto Berry,"If held by a Pokémon, it recovers from sleep.",Berries
Chewtle Claw,"Material obtained after defeating/catching Chewtle, used in TM crafting.",General items
Chilan Berry,Weakens a Normal-type attack against the Pokémon holding this berry.,Berries
Chili Sauce,A condiment with a very spicy kick. It’s thanks to Scovillain that this sauce gets its signature mouth-tingling burn.,
Chill Drive,Changes Techno Blast to an Ice-type move when held by Genesect.,Hold items
Chipped Pot,Evolves Sinistea into Polteageist.,Hold items
Choice Band,"Raises Attack, but only one move can be used.",Hold items
Choice Dumpling,,General items
Choice Scarf,"Raises Speed, but only one move can be used.",Hold items
Choice Specs,"Raises Special Attack, but only one move can be used.",Hold items
Chople Berry,Weakens a supereffective Fighting-type attack against the holding Pokémon.,Berries
Chorizo,"A very salty and spicy ingredient. This type of sausage has particularly robust salty flavor, and the spicier varieties are extra popular.",
Clauncher Claw,"Material obtained after defeating/catching Clauncher, used in TM crafting.",General items
Claw Fossil,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a claw.,General items
Cleanse Tag,An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the first one in the party.,Hold items
Clear Amulet,"An item to be held by a Pokémon. This clear, sparkling amulet protects the holder from having its stats lowered by moves used against it or by other Pokémon’s Abilities.",
Clever Feather,Increases Special Defense EVs by 1.,Medicine
Clever Mochi,Increases Special Defense EVs.,Medicine
Clover Sweet,Evolves Milcery into Clover Flavor Alcremie.,Hold items
Coba Berry,Weakens a supereffective Flying-type attack against the holding Pokémon.,Berries
Coconut Milk,One of the many ingredients that can be used for cooking at your camp. The refined sweetness of this coconut milk makes it quite popular.,General items
Colbur Berry,Weakens a supereffective Dark-type attack against the holding Pokémon.,Berries
Combee Honey,"Material obtained after defeating/catching Combee, used in TM crafting.",General items
Comet Shard,A shard which fell to the ground when a comet approached. A maniac will buy it for a high price.,General items
Cornn Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,Berries
Courage Candy,Increases a Pokémon's Special Defense stat by 1.,Medicine
Courage Candy L,Increases a Pokémon's Special Defense stat.,Medicine
Courage Candy XL,Increases a Pokémon's Special Defense stat.,Medicine
Cover Fossil,A fossil of an ancient Pokémon that lived in the sea in ancient times. It appears to be part of its back.,General items
Covert Cloak,"Conceals the holder, protecting it from the additional effects of moves.",Hold items
Crabrawler Shell,"Material obtained after defeating/catching Crabrawler, used in TM crafting.",General items
Cracked Pot,Evolves Sinistea into Polteageist.,Hold items
Crafting Kit,,General items
Cream Cheese,"A condiment offering very sweet and very tart flavor. It goes well with more ingredients than you’d expect, making it a convenient go-to.",
Croagunk Poison,"Material obtained after defeating/catching Croagunk, used in TM crafting.",General items
Crunchy Salt,,General items
Cryogonal Ice,"Material obtained after defeating/catching Cryogonal, used in TM crafting.",General items
Cubchoo Fur,"Material obtained after defeating/catching Cubchoo, used in TM crafting.",General items
Cucumber,A tart and bitter ingredient. Using it together with rich-tasting ingredients in a sandwich will really make the most of a cucumber’s fresh-veggie aroma.,
Cufant Tarnish,"Material obtained after defeating/catching Cufant, used in TM crafting.",General items
Curry Powder,"A very spicy condiment. Just watch out—use too much of this potent seasoning, and it’ll cancel out the other flavors.",
Custap Berry,Holder can move first when HP is low.,Berries
Cyber Ball,"A ball themed after hardcore gaming PCs. It may not light up like its inspiration, but it still stands out.",
Cyclizar Scales,"Material obtained after defeating/catching Cyclizar, used in TM crafting.",General items
Damp Mulch,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.,General items
Damp Rock,A Pokémon held item that extends the duration of the move Rain Dance used by the holder.,Hold items
Dark Gem,Increases the power of a Dark-type move only once.,Hold items
Dark Memory,Changes Silvally and its move Multi-Attack to Dark type.,Hold items
Dark Tera Shard,Changes a Pokémon's Tera Type to Dark.,
Darkinium Z,"Allows the use of Black Hole Eclipse, the Dark type Z-Move.",Hold items
Dawn Stone,Evolves certain species of Pokémon.,General items
Dazzling Honey,,General items
Decidium Z,"Allows Decidueye to upgrade Spirit Shackle to a Z-Move, Sinister Arrow Raid.",Hold items
Dedenne Fur,"Material obtained after defeating/catching Dedenne, used in TM crafting.",General items
Deep Sea Scale,Increases Special Defense when held by Clamperl. Evolves Clamperl when traded holding the item.,Hold items
Deep Sea Tooth,Increases Special Attack when held by Clamperl. Evolves Clamperl when traded holding the item.,Hold items
Deerling Hair,"Material obtained after defeating/catching Deerling, used in TM crafting.",General items
Deino Scales,"Material obtained after defeating/catching Deino, used in TM crafting.",General items
Delibird Parcel,"Material obtained after defeating/catching Delibird, used in TM crafting.",General items
Destiny Knot,"A long, thin, bright-red string to be held by a Pokémon. If the holder becomes infatuated, the foe does too.",Hold items
Diamond Bottle,"A diamond-patterned bottle that’s small, light, and even comes with a cup. The detachable strap makes it handy for walking around with.",
Diamond Pattern Cup,"A cup that’s as good for using at home as on a picnic. It’s light, sturdy, and stacks well, so it’s a cinch to pack up and carry around.",
Diamond Tablecloth,"A tablecloth with a fashionable diamond pattern. It’s great at repelling water and mold, and stains and smudges wipe right off.",
Diancite,Enables Diancie to Mega Evolve during battle.,Hold items
Digger Drill,A single-use drill to bore a hole in the wall for your Secret Base.,
Diglett Dirt,"Material obtained after defeating/catching Diglett, used in TM crafting.",General items
Dire Hit,Raises critical-hit ratio of a Pokémon in battle.,Battle items
Dire Hit 2,Raises a Pokémon's critical-hit ratio in battle.,Battle items
Dire Hit 3,Greatly raises a Pokémon's critical-hit ratio in battle.,Battle items
Direshroom,,General items
Discount Coupon,This special coupon allows you to buy items at a discount when you are shopping at a boutique.,General items
Discovery Slate,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Discovery Room at Ramanas Park.,
Distortion Slate,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Distortion Room at Ramanas Park.,
Ditto Goo,"Material obtained after defeating/catching Ditto, used in TM crafting.",General items
Dive Ball,Catches Pokémon that live in water with 3.5x the rate of a standard Poké Ball.,Pokeballs
DNA Splicers,A splicer that fuses Kyurem and a certain Pokémon. They are said to have been one in the beginning.,General items
Dome Fossil,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a shell.,General items
Dondozo Whisker,"Material obtained after defeating/catching Dondozo, used in TM crafting.",General items
Doppel Bonnets,,General items
Douse Drive,Changes Techno Blast to a Water-type move when held by Genesect.,Hold items
Draco Plate,Increases power of Dragon-type moves. Changes Arceus' type to Dragon.,Hold items
Dragon Fang,Increases the power of Dragon-type moves.,Hold items
Dragon Gem,Increases the power of a Dragon-type move only once.,Hold items
Dragon Memory,Changes Silvally and its move Multi-Attack to Dragon type.,Hold items
Dragon Scale,Evolves Seadra when traded holding the item.,General items
Dragon Tera Shard,Changes a Pokémon's Tera Type to .,
Dragonium Z,"Allows the use of Devastating Drake, the Dragon type Z-Move.",Hold items
Dratini Scales,"Material obtained after defeating/catching Dratini, used in TM crafting.",General items
Dread Plate,Increases power of Dark-type moves. Changes Arceus' type to Dark.,Hold items
Dream Ball,A special Poké Ball that appears out of nowhere in a bag at the Entree Forest. It can catch any Pokémon.,Pokeballs
Dreepy Powder,"Material obtained after defeating/catching Dreepy, used in TM crafting.",General items
Drifloon Gas,"Material obtained after defeating/catching Drifloon, used in TM crafting.",General items
Dropped Item,The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a boy.,Hold items
Drowzee Fur,"Material obtained after defeating/catching Drowzee, used in TM crafting.",General items
Dubious Disc,Evolves Porygon2 when traded holding the item.,General items
Dunsparce Scales,"Material obtained after defeating/catching Dunsparce, used in TM crafting.",General items
Durin Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,Berries
Dusk Ball,Catches Pokémon at night or in caves with 3x the rate of a standard Poké Ball.,Pokeballs
Dusk Stone,Evolves certain species of Pokémon.,General items
Dynamax Candy,Raises Dynamax Level.,Medicine
Dynite Ore,Mysterious ore that can be obtained in the Max Lair. Something good will happen if you give it to a collector in the Crown Tundra.,General items
Earth Plate,Increases power of Ground-type moves. Changes Arceus' type to Ground.,Hold items
Eevee Cup,"A cup for big-time Pokémon fans. Kids will happily drink out of it, making it a boon to parents.",
Eevee Fur,"Material obtained after defeating/catching Eevee, used in TM crafting.",General items
Eevium Z,"Allows Eevee to upgrade Last Resort to a Z-Move, Extreme Evoboost.",Hold items
Egg,An ingredient with a touch of saltiness. It’s full of nutrients and can be enjoyed with all sorts of seasonings.,
Eiscue Down,"Material obtained after defeating/catching Eiscue, used in TM crafting.",General items
Eject Button,"If the holder is hit by an attack, it will switch with another Pokémon in your party.",Hold items
Eject Pack,The Pokémon switches out if its stats are lowered.,Hold items
Electirizer,Evolves Electabuzz when traded holding the item.,General items
Electric Gem,Increases the power of an Electric-type move only once.,Hold items
Electric Memory,Changes Silvally and its move Multi-Attack to Electric type.,Hold items
Electric Seed,An item to be held by a Pokémon. It boosts Defense on Electric Terrain. It can only be used once.,Hold items
Electric Tera Shard,Changes a Pokémon's Tera Type to Electric.,
Electrium Z,"Allows the use of Gigavolt Havoc, the Electric type Z-Move.",Hold items
Elevator Key,A card key that activates the elevator in Lysandre Labs. It is emblazoned with Team Flare's logo.,Hold items
Elixir,Restores 10 PP to all moves of a Pokémon.,Medicine
Energy Powder,Restores 60 HP but lowers Friendship.,Medicine
Energy Root,Restores 120 HP but lowers Friendship.,Medicine
Enigma Berry,"If held by a Pokémon, it restores its HP if it is hit by any supereffective attack.",Berries
Escape Rope,"A long, durable rope. Use it to escape instantly from a cave or a dungeon.",General items
Ether,Restores 10 PP to one move of a Pokémon.,Medicine
Everstone,An item to be held by a Pokémon. The Pokémon holding this peculiar stone is prevented from evolving.,Hold items
Eviolite,"A mysterious evolutionary lump. When held, it raises the Defense and Sp. Def of a Pokémon that can still evolve.",Hold items
Exercise Ball,"A big ball designed for exercising. It can work as a seat if you get tired, too.",
Exp. Candy L,"Increases the Pokémon's Exp points by 10,000.",Medicine
Exp. Candy M,"Increases the Pokémon's Exp points by 3,000.",Medicine
Exp. Candy S,Increases the Pokémon's Exp points by 800.,Medicine
Exp. Candy XL,"Increases the Pokémon's Exp. Points by 30,000.",Medicine
Exp. Candy XS,Increases the Pokémon's Exp points by 100.,Medicine
Exp. Share,An item to be held by a Pokémon. The holder gets a share of a battle's Exp. Points without battling.,Hold items
Expert Belt,Increases the power of super-effective moves.,Hold items
Fairium Z,"Allows the use of Twinkle Tackle, the Fairy type Z-Move.",Hold items
Fairy Gem,Increases the power of a Fairy-type move only once.,General items
Fairy Memory,Changes Silvally and its move Multi-Attack to Fairy type.,Hold items
Fairy Tera Shard,Changes a Pokémon's Tera Type to Fairy.,
Falinks Sweat,"Material obtained after defeating/catching Falinks, used in TM crafting.",General items
Fancy Apple,One of the many ingredients that can be used for cooking at your camp. An apple chosen above others. It has spectacular form and a brilliant sheen.,General items
Fast Ball,A Poké Ball that makes it easier to catch Pokémon which are quick to run away.,Pokeballs
Feather Ball,,Pokeballs
Festival Ticket,A ticket that allows you to host a mission in Festival Plaza.,General items
Fidough Fur,"Material obtained after defeating/catching Fidough, used in TM crafting.",General items
Fighting Gem,Increases the power of a Fighting-type move only once.,Hold items
Fighting Memory,Changes Silvally and its move Multi-Attack to Fighting type.,Hold items
Fighting Tera Shard,Changes a Pokémon's Tera Type to Fighting.,
Fightinium Z,"Allows the use of All-Out Pummeling, the Fighting type Z-Move.",Hold items
Figy Berry,"Restores HP if it's low, but may cause confusion.",Berries
Fine Remedy,,Medicine
Finizen Mucus,"Material obtained after defeating/catching Finizen, used in TM crafting.",General items
Finneon Scales,"Material obtained after defeating/catching Finneon, used in TM crafting.",General items
Fire Gem,Increases the power of a Fire-type move only once.,Hold items
Fire Memory,Changes Silvally and its move Multi-Attack to Fire type.,Hold items
Fire Pattern Cup,"A cup that’s as good for using at home as on a picnic. It’s light, sturdy, and stacks well, so it’s a cinch to pack up and carry around.",
Fire Stone,Evolves certain species of Pokémon.,General items
Fire Tera Shard,Changes a Pokémon's Tera Type to Fire.,
Firium Z,"Allows the use of Inferno Overdrive, the Fire type Z-Move.",Hold items
Fist Plate,Increases power of Fighting-type moves. Changes Arceus' type to Fighting.,Hold items
Flabébé Pollen,"Material obtained after defeating/catching Flabébé, used in TM crafting.",General items
Flame Orb,An item to be held by a Pokémon. It is a bizarre orb that inflicts a burn on the holder in battle.,Hold items
Flame Plate,Increases power of Fire-type moves. Changes Arceus' type to Fire.,Hold items
Flamigo Down,"Material obtained after defeating/catching Flamigo, used in TM crafting.",General items
Fletchling Feather,"Material obtained after defeating/catching Fletchling, used in TM crafting.",General items
Flittle Down,"Material obtained after defeating/catching Flittle, used in TM crafting.",General items
Float Stone,A very light stone. It reduces the weight of a Pokémon when held.,Hold items
Flower Pattern Cup,"A cup for kids to use at picnics. It’s made of light but strong material. It’s stackable, which makes it handy for carrying around.",
Flower Sweet,Evolves Milcery into Flower Flavor Alcremie.,Hold items
Fluffy Tail,An item that attracts Pokémon. Use it to flee from any battle with a wild Pokémon.,General items
Flying Gem,Increases the power of a Flying-type move only once.,Hold items
Flying Memory,Changes Silvally and its move Multi-Attack to Flying type.,Hold items
Flying Tera Shard,Changes a Pokémon's Tera Type to Flying.,
Flyinium Z,"Allows the use of Supersonic Skystrike, the Flying type Z-Move.",Hold items
Focus Band,"An item to be held by a Pokémon. The holder may endure a potential KO attack, leaving it with just 1 HP.",Hold items
Focus Sash,"An item to be held by a Pokémon. If it has full HP, the holder will endure one potential KO attack, leaving 1 HP.",Hold items
Fomantis Leaf,"Material obtained after defeating/catching Fomantis, used in TM crafting.",General items
Foongus Spores,"Material obtained after defeating/catching Foongus, used in TM crafting.",General items
Fossilized Bird,The fossil of an ancient Pokémon that once soared through the sky. What it looked like is a mystery.,General items
Fossilized Dino,The fossil of an ancient Pokémon that once lived in the sea. What it looked like is a mystery.,General items
Fossilized Drake,The fossil of an ancient Pokémon that once roamed the land. What it looked like is a mystery.,General items
Fossilized Fish,The fossil of an ancient Pokémon that once lived in the sea. What it looked like is a mystery.,General items
Fresh Cream,One of the many ingredients that can be used for cooking at your camp. Add some whipped cream to a spicy curry to give it some sweetness.,General items
Fresh-Start Mochi,Resets a Pokémon's EVs.,Medicine
Fresh Water,Restores 30 HP.,Medicine
Fried Fillet,"When used in a sandwich, this very salty and bitter ingredient is at its best paired with sour seasonings.",
Fried Food,"One of the many ingredients that can be used for cooking at your camp. It’s been a while since it was fried, so it’s gotten greasy.",General items
Friend Ball,A Poké Ball that makes caught Pokémon more friendly.,Pokeballs
Frigibax Scales,"Material obtained after defeating/catching Frigibax, used in TM crafting.",General items
Fruit Bunch,One of the many ingredients that can be used for cooking at your camp. The syrupy fruits give off a strong tropical feel.,General items
Full Heal,Cures a Pokémon of any status condition.,Medicine
Full Incense,Holder always attacks last. Breeding Snorlax produces Munchlax when held.,Hold items
Full Restore,Fully restores HP and cures any status condition of a Pokémon.,Medicine
Galarica Cuff,Evolves Galarian Slowpoke into Galarian Slowbro.,General items
Galarica Twig,"Used to create Galarica Cuff/Wreath, to evolve Galarian Slowpoke.",General items
Galarica Wreath,Evolves Galarian Slowpoke into Galarian Slowking.,General items
Galladite,Enables Gallade to Mega Evolve during battle.,Hold items
Ganlon Berry,Raises Defense when HP is low.,Berries
Garchompite,Enables Garchomp to Mega Evolve during battle.,Hold items
Gardevoirite,Enables Gardevoir to Mega Evolve during battle.,Hold items
Gastly Gas,"Material obtained after defeating/catching Gastly, used in TM crafting.",General items
Gengarite,Enables Gengar to Mega Evolve during battle.,Hold items
Genius Feather,Increases Special Attack EVs by 1.,Medicine
Genius Mochi,Increases Special Attack EVs.,Medicine
Genome Slate,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Genome Room at Ramanas Park.,
Gentle Mint,Changes the Pokémon's stats to match the Gentle nature.,Battle items
Ghost Gem,Increases the power of a Ghost-type move only once.,Hold items
Ghost Memory,Changes Silvally and its move Multi-Attack to Ghost type.,Hold items
Ghost Tera Shard,Changes a Pokémon's Tera Type to Ghost.,
Ghostium Z,"Allows the use of Never-Ending Nightmare, the Ghost type Z-Move.",Hold items
Gible Scales,"Material obtained after defeating/catching Gible, used in TM crafting.",General items
