Evolving_from,Evolving_to,level,item,description,type
Whismur,Loudred,20,nulo,,level
Loudred,Exploud,40,nulo,,level
Makuhita,Hariyama,24,nulo,,level
Aron,Lairon,32,nulo,,level
Lairon,Aggron,42,nulo,,level
Meditite,Medicham,37,nulo,,level
Electrike,Manectric,26,nulo,,level
Gulpin,Swalot,26,nulo,,level
Carvanha,Sharpedo,30,nulo,,level
Wailmer,Wailord,40,nulo,,level
Numel,Camerupt,33,nulo,,level
Spoink,Grumpig,32,nulo,,level
Trapinch,Vibrava,35,nulo,,level
Vibrava,Flygon,45,nulo,,level
Cacnea,Cacturne,32,nulo,,level
Swablu,Altaria,35,nulo,,level
Barboach,Whiscash,30,nulo,,level
Corphish,Crawdaunt,30,nulo,,level
Baltoy,Claydol,36,nulo,,level
Lileep,Cradily,40,nulo,,level
Anorith,Armaldo,40,nulo,,level
Shuppet,Banette,37,nulo,,level
Duskull,Dusclops,37,nulo,,level
Snorunt,Glalie,42,nulo,,level
Spheal,Sealeo,32,nulo,,level
Sealeo,Walrein,44,nulo,,level
Bagon,Shelgon,30,nulo,,level
Shelgon,Salamence,50,nulo,,level
Beldum,Metang,20,nulo,,level
Metang,Metagross,45,nulo,,level
Turtwig,Grotle,18,nulo,,level
Grotle,Torterra,32,nulo,,level
Chimchar,Monferno,14,nulo,,level
Monferno,Infernape,36,nulo,,level
Piplup,Prinplup,16,nulo,,level
Prinplup,Empoleon,36,nulo,,level
Starly,Staravia,14,nulo,,level
Staravia,Staraptor,34,nulo,,level
Bidoof,Bibarel,15,nulo,,level
Kricketot,Kricketune,10,nulo,,level
Shinx,Luxio,15,nulo,,level
Luxio,Luxray,30,nulo,,level
Cranidos,Rampardos,30,nulo,,level
Shieldon,Bastiodon,30,nulo,,level
Burmy,Mothim,20,nulo,Male,level
Burmy,Wormadam,20,nulo,"Female, in grass",level
Burmy,Wormadam,20,nulo,"Female, in caves",level
Burmy,Wormadam,20,nulo,"Female, in buildings",level
Combee,Vespiquen,21,nulo,Female,level
Buizel,Floatzel,26,nulo,,level
Cherubi,Cherrim,25,nulo,,level
Shellos,Gastrodon,30,nulo,,level
Drifloon,Drifblim,28,nulo,,level
Glameow,Purugly,38,nulo,,level
Stunky,Skuntank,34,nulo,,level
Bronzor,Bronzong,33,nulo,,level
Gible,Gabite,24,nulo,,level
Gabite,Garchomp,48,nulo,,level
Hippopotas,Hippowdon,34,nulo,,level
Skorupi,Drapion,40,nulo,,level
Croagunk,Toxicroak,37,nulo,,level
Finneon,Lumineon,31,nulo,,level
Snover,Abomasnow,40,nulo,,level
Snivy,Servine,17,nulo,,level
Servine,Serperior,36,nulo,,level
Tepig,Pignite,17,nulo,,level
Pignite,Emboar,36,nulo,,level
Oshawott,Dewott,17,nulo,,level
Dewott,Samurott,36,nulo,,level
Dewott,Samurott,36,nulo,in Legends: Arceus,level
Patrat,Watchog,20,nulo,,level
Lillipup,Herdier,16,nulo,,level
Herdier,Stoutland,32,nulo,,level
Purrloin,Liepard,20,nulo,,level
Pidove,Tranquill,21,nulo,,level
Tranquill,Unfezant,32,nulo,,level
Blitzle,Zebstrika,27,nulo,,level
Roggenrola,Boldore,25,nulo,,level
Drilbur,Excadrill,31,nulo,,level
Timburr,Gurdurr,25,nulo,,level
Tympole,Palpitoad,25,nulo,,level
Palpitoad,Seismitoad,36,nulo,,level
Sewaddle,Swadloon,20,nulo,,level
Venipede,Whirlipede,22,nulo,,level
Whirlipede,Scolipede,30,nulo,,level
Sandile,Krokorok,29,nulo,,level
Krokorok,Krookodile,40,nulo,,level
Darumaka,Darmanitan,35,nulo,,level
Dwebble,Crustle,34,nulo,,level
Scraggy,Scrafty,39,nulo,,level
Yamask,Cofagrigus,34,nulo,,level
Tirtouga,Carracosta,37,nulo,,level
Archen,Archeops,37,nulo,,level
Trubbish,Garbodor,36,nulo,,level
Zorua,Zoroark,30,nulo,,level
Zorua,Zoroark,30,nulo,in Legends: Arceus,level
Gothita,Gothorita,32,nulo,,level
Gothorita,Gothitelle,41,nulo,,level
Solosis,Duosion,32,nulo,,level
Duosion,Reuniclus,41,nulo,,level
Ducklett,Swanna,35,nulo,,level
Vanillite,Vanillish,35,nulo,,level
Vanillish,Vanilluxe,47,nulo,,level
Deerling,Sawsbuck,34,nulo,,level
Foongus,Amoonguss,39,nulo,,level
Frillish,Jellicent,40,nulo,,level
Joltik,Galvantula,36,nulo,,level
Ferroseed,Ferrothorn,40,nulo,,level
Klink,Klang,38,nulo,,level
Klang,Klinklang,49,nulo,,level
Tynamo,Eelektrik,39,nulo,,level
Elgyem,Beheeyem,42,nulo,,level
Litwick,Lampent,41,nulo,,level
Axew,Fraxure,38,nulo,,level
Fraxure,Haxorus,48,nulo,,level
Cubchoo,Beartic,37,nulo,,level
Mienfoo,Mienshao,50,nulo,,level
Golett,Golurk,43,nulo,,level
Pawniard,Bisharp,52,nulo,,level
Rufflet,Braviary,54,nulo,,level
Rufflet,Braviary,54,nulo,in Legends: Arceus,level
Vullaby,Mandibuzz,54,nulo,,level
Deino,Zweilous,50,nulo,,level
Zweilous,Hydreigon,64,nulo,,level
Larvesta,Volcarona,59,nulo,,level
Chespin,Quilladin,16,nulo,,level
Quilladin,Chesnaught,36,nulo,,level
Fennekin,Braixen,16,nulo,,level
Braixen,Delphox,36,nulo,,level
Froakie,Frogadier,16,nulo,,level
Frogadier,Greninja,36,nulo,,level
Bunnelby,Diggersby,20,nulo,,level
Fletchling,Fletchinder,17,nulo,,level
Fletchinder,Talonflame,35,nulo,,level
Scatterbug,Spewpa,9,nulo,,level
Spewpa,Vivillon,12,nulo,,level
Litleo,Pyroar,35,nulo,,level
Flabébé,Floette,19,nulo,,level
Skiddo,Gogoat,32,nulo,,level
Pancham,Pangoro,32,nulo,Dark type Pokémon in party,level
Espurr,Meowstic,25,nulo,Male,level
Espurr,Meowstic,25,nulo,Female,level
Honedge,Doublade,35,nulo,,level
Inkay,Malamar,30,nulo,holding console upside down,level
Binacle,Barbaracle,39,nulo,,level
Skrelp,Dragalge,48,nulo,,level
Clauncher,Clawitzer,37,nulo,,level
Tyrunt,Tyrantrum,39,nulo,Daytime,level
Amaura,Aurorus,39,nulo,Nighttime,level
Goomy,Sliggoo,40,nulo,,level
Sliggoo,Goodra,50,nulo,during rain,level
Goomy,Sliggoo,40,nulo,in Legends: Arceus,level
Sliggoo,Goodra,50,nulo,"during rain, in Legends: Arceus",level
Bergmite,Avalugg,37,nulo,,level
Bergmite,Avalugg,37,nulo,in Legends: Arceus,level
Noibat,Noivern,48,nulo,,level
Rowlet,Dartrix,17,nulo,,level
Dartrix,Decidueye,34,nulo,,level
Dartrix,Decidueye,36,nulo,in Legends: Arceus,level
Litten,Torracat,17,nulo,,level
Torracat,Incineroar,34,nulo,,level
Popplio,Brionne,17,nulo,,level
Brionne,Primarina,34,nulo,,level
Pikipek,Trumbeak,14,nulo,,level
Trumbeak,Toucannon,28,nulo,,level
Yungoos,Gumshoos,20,nulo,Daytime,level
Grubbin,Charjabug,20,nulo,,level
Cutiefly,Ribombee,25,nulo,,level
Rockruff,Lycanroc,25,nulo,Daytime,level
Rockruff,Lycanroc,25,nulo,Nighttime,level
Rockruff,Lycanroc,25,nulo,Dusk,level
Mareanie,Toxapex,38,nulo,,level
Mudbray,Mudsdale,30,nulo,,level
Dewpider,Araquanid,22,nulo,,level
Fomantis,Lurantis,34,nulo,Daytime,level
Morelull,Shiinotic,24,nulo,,level
Salandit,Salazzle,33,nulo,Female,level
Stufful,Bewear,27,nulo,,level
Bounsweet,Steenee,18,nulo,,level
Wimpod,Golisopod,30,nulo,,level
Sandygast,Palossand,42,nulo,,level
Jangmo-o,Hakamo-o,35,nulo,,level
Hakamo-o,Kommo-o,45,nulo,,level
Cosmog,Cosmoem,43,nulo,,level
Cosmoem,Solgaleo,53,nulo,in Pokémon Sun or Ultra Sun,level
Cosmoem,Lunala,53,nulo,in Pokémon Moon or Ultra Moon,level
Grookey,Thwackey,16,nulo,,level
Thwackey,Rillaboom,35,nulo,,level
Scorbunny,Raboot,16,nulo,,level
Raboot,Cinderace,35,nulo,,level
Sobble,Drizzile,16,nulo,,level
Drizzile,Inteleon,35,nulo,,level
Blipbug,Dottler,10,nulo,,level
Dottler,Orbeetle,30,nulo,,level
Rookidee,Corvisquire,18,nulo,,level
Corvisquire,Corviknight,38,nulo,,level
Skwovet,Greedent,24,nulo,,level
Nickit,Thievul,18,nulo,,level
Wooloo,Dubwool,24,nulo,,level
Chewtle,Drednaw,22,nulo,,level
Yamper,Boltund,25,nulo,,level
Gossifleur,Eldegoss,20,nulo,,level
Sizzlipede,Centiskorch,28,nulo,,level
Rolycoly,Carkol,18,nulo,,level
Carkol,Coalossal,34,nulo,,level
Arrokuda,Barraskewda,26,nulo,,level
Corsola,Cursola,38,nulo,,level
Impidimp,Morgrem,32,nulo,,level
Morgrem,Grimmsnarl,42,nulo,,level
Hatenna,Hattrem,32,nulo,,level
Hattrem,Hatterene,42,nulo,,level
Cufant,Copperajah,34,nulo,,level
Toxel,Toxtricity,30,nulo,with an amped Nature,level
Toxel,Toxtricity,30,nulo,with a low key Nature,level
Silicobra,Sandaconda,36,nulo,,level
Dreepy,Drakloak,50,nulo,,level
Drakloak,Dragapult,60,nulo,,level
Sprigatito,Floragato,16,nulo,,level
Floragato,Meowscarada,36,nulo,,level
Fuecoco,Crocalor,16,nulo,,level
Crocalor,Skeledirge,36,nulo,,level
Quaxly,Quaxwell,16,nulo,,level
Quaxwell,Quaquaval,36,nulo,,level
Lechonk,Oinkologne,18,nulo,Male,level
Lechonk,Oinkologne,18,nulo,Female,level
Tarountula,Spidops,15,nulo,,level
Nymble,Lokix,24,nulo,,level
Greavard,Houndstone,30,nulo,Nighttime,level
Flittle,Espathra,35,nulo,,level
Wiglett,Wugtrio,26,nulo,,level
Finizen,Palafin,38,nulo,while in multiplayer,level
Smoliv,Dolliv,25,nulo,,level
Dolliv,Arboliva,35,nulo,,level
Varoom,Revavroom,40,nulo,,level
Tandemaus,Maushold,25,nulo,rare,level
Tandemaus,Maushold,25,nulo,,level
Frigibax,Arctibax,35,nulo,,level
Arctibax,Baxcalibur,54,nulo,,level
Pawmi,Pawmo,18,nulo,,level
Wattrel,Kilowattrel,25,nulo,,level
Nacli,Naclstack,24,nulo,,level
Naclstack,Garganacl,38,nulo,,level
Glimmet,Glimmora,35,nulo,,level
Shroodle,Grafaiai,28,nulo,,level
Fidough,Dachsbun,26,nulo,,level
Maschiff,Mabosstiff,30,nulo,,level
Tinkatink,Tinkatuff,24,nulo,,level
Tinkatuff,Tinkaton,38,nulo,,level
Toedscool,Toedscruel,30,nulo,,level
Pikachu,Raichu,0,Thunder Stone,"Thunder Stone, outside Alola",stone
Pikachu,Raichu,0,Thunder Stone,"Thunder Stone, in Alola",stone
Sandshrew,Sandslash,0,Ice Stone,Ice Stone,stone
Nidorina,Nidoqueen,0,Moon Stone,Moon Stone,stone
Nidorino,Nidoking,0,Moon Stone,Moon Stone,stone
Clefairy,Clefable,0,Moon Stone,Moon Stone,stone
Vulpix,Ninetales,0,Fire Stone,Fire Stone,stone
Vulpix,Ninetales,0,Ice Stone,Ice Stone,stone
Jigglypuff,Wigglytuff,0,Moon Stone,Moon Stone,stone
Gloom,Vileplume,0,Leaf Stone,Leaf Stone,stone
Gloom,Bellossom,0,Sun Stone,Sun Stone,stone
Growlithe,Arcanine,0,Fire Stone,Fire Stone,stone
Growlithe,Arcanine,0,Fire Stone,Fire Stone,stone
Poliwhirl,Poliwrath,0,Water Stone,Water Stone,stone
Weepinbell,Victreebel,0,Leaf Stone,Leaf Stone,stone
Slowpoke,Slowbro,0,Galarica Cuff,Galarica Cuff,stone
Slowpoke,Slowking,0,Galarica Wreath,Galarica Wreath,stone
Magneton,Magnezone,0,Thunder Stone,"Thunder Stone, in Gen 8+, or level up in a Magnetic Field area",stone
Shellder,Cloyster,0,Water Stone,Water Stone,stone
Voltorb,Electrode,0,Leaf Stone,Leaf Stone,stone
Exeggcute,Exeggutor,0,Leaf Stone,"Leaf Stone, outside Alola",stone
Exeggcute,Exeggutor,0,Leaf Stone,"Leaf Stone, in Alola",stone
Staryu,Starmie,0,Water Stone,Water Stone,stone
Scyther,Kleavor,0,Black Augurite,Black Augurite,stone
Eevee,Vaporeon,0,Water Stone,Water Stone,stone
Eevee,Jolteon,0,Thunder Stone,Thunder Stone,stone
Eevee,Flareon,0,Fire Stone,Fire Stone,stone
Eevee,Leafeon,0,Leaf Stone,"Leaf Stone, or level up near a Mossy Rock",stone
Eevee,Glaceon,0,Ice Stone,"Ice Stone, or level up near an Icy Rock",stone
Togetic,Togekiss,0,Shiny Stone,Shiny Stone,stone
Sunkern,Sunflora,0,Sun Stone,Sun Stone,stone
Murkrow,Honchkrow,0,Dusk Stone,Dusk Stone,stone
Misdreavus,Mismagius,0,Dusk Stone,Dusk Stone,stone
Sneasel,Sneasler,0,Razor Claw,"Razor Claw, Daytime",stone
Ursaring,Ursaluna,0,Peat Block,"Peat Block, under a full moon, in Legends: Arceus",stone
Lombre,Ludicolo,0,Water Stone,Water Stone,stone
Nuzleaf,Shiftry,0,Leaf Stone,Leaf Stone,stone
Kirlia,Gallade,0,Dawn Stone,"Dawn Stone, Male",stone
Skitty,Delcatty,0,Moon Stone,Moon Stone,stone
Roselia,Roserade,0,Shiny Stone,Shiny Stone,stone
Snorunt,Froslass,0,Dawn Stone,"Dawn Stone, Female",stone
Pansage,Simisage,0,Leaf Stone,Leaf Stone,stone
Pansear,Simisear,0,Fire Stone,Fire Stone,stone
Panpour,Simipour,0,Water Stone,Water Stone,stone
Munna,Musharna,0,Moon Stone,Moon Stone,stone
Cottonee,Whimsicott,0,Sun Stone,Sun Stone,stone
Petilil,Lilligant,0,Sun Stone,Sun Stone,stone
Petilil,Lilligant,0,Sun Stone,"Sun Stone, in Legends: Arceus",stone
Darumaka,Darmanitan,0,Ice Stone,Ice Stone,stone
Minccino,Cinccino,0,Shiny Stone,Shiny Stone,stone
Eelektrik,Eelektross,0,Thunder Stone,Thunder Stone,stone
Lampent,Chandelure,0,Dusk Stone,Dusk Stone,stone
Floette,Florges,0,Shiny Stone,Shiny Stone,stone
Doublade,Aegislash,0,Dusk Stone,Dusk Stone,stone
Helioptile,Heliolisk,0,Sun Stone,Sun Stone,stone
Charjabug,Vikavolt,0,Thunder Stone,"Thunder Stone, in Gen 8, or level up in a Magnetic Field area",stone
Crabrawler,Crabominable,0,Ice Stone,"Ice Stone, or at Mount Lanakila in Alola",stone
Applin,Flapple,0,Tart Apple,Tart Apple,stone
Applin,Appletun,0,Sweet Apple,Sweet Apple,stone
Applin,Dipplin,0,Syrupy Apple,Syrupy Apple,stone
Sinistea,Polteageist,0,Cracked Pot,Cracked Pot,stone
Kubfu,Urshifu,0,Scroll Of Darkness,"Scroll Of Darkness, or in Tower of Darkness in Galar",stone
Kubfu,Urshifu,0,Scroll Of Waters,"Scroll Of Waters, or in Tower of Water in Galar",stone
Capsakid,Scovillain,0,Fire Stone,Fire Stone,stone
Tadbulb,Bellibolt,0,Thunder Stone,Thunder Stone,stone
Cetoddle,Cetitan,0,Ice Stone,Ice Stone,stone
Charcadet,Armarouge,0,Auspicious Armor,Auspicious Armor,stone
Charcadet,Ceruledge,0,Malicious Armor,Malicious Armor,stone
Poltchageist,Sinistcha,0,Unremarkable Teacup,Unremarkable Teacup,stone
Duraludon,Archaludon,0,Metal Alloy,Metal Alloy,stone
Poliwhirl,Politoed,0,Kings Rock, Kings Rock,trade
Kadabra,Alakazam,0,nulo,,trade
Machoke,Machamp,0,nulo,,trade
Graveler,Golem,0,nulo,,trade
Graveler,Golem,0,nulo,,trade
Slowpoke,Slowking,0,Kings Rock, Kings Rock,trade
Haunter,Gengar,0,nulo,,trade
Onix,Steelix,0,Metal Coat, Metal Coat,trade
Rhydon,Rhyperior,0,Protector, Protector,trade
Seadra,Kingdra,0,Dragon Scale, Dragon Scale,trade
Scyther,Scizor,0,Metal Coat, Metal Coat,trade
Electabuzz,Electivire,0,Electirizer, Electirizer,trade
Magmar,Magmortar,0,Magmarizer, Magmarizer,trade
Porygon,Porygon2,0,Upgrade, Upgrade,trade
Porygon2,Porygon-Z,0,Dubious Disc, Dubious Disc,trade
Feebas,Milotic,0,Prism Scale," Prism Scale, or level up with max Beauty",trade
Dusclops,Dusknoir,0,Reaper Cloth, Reaper Cloth,trade
Clamperl,Huntail,0,Deep Sea Tooth, Deep Sea Tooth,trade
Clamperl,Gorebyss,0,Deep Sea Scale, Deep Sea Scale,trade
Boldore,Gigalith,0,nulo,,trade
Gurdurr,Conkeldurr,0,nulo,,trade
Karrablast,Escavalier,0,Shelmet,Trade with Shelmet,trade
Shelmet,Accelgor,0,Karrablast,Trade with Karrablast,trade
Spritzee,Aromatisse,0,Sachet, Sachet,trade
Swirlix,Slurpuff,0,Whipped Dream, Whipped Dream,trade
Phantump,Trevenant,0,nulo,,trade
Pumpkaboo,Gourgeist,0,nulo,,trade
Pichu,Pikachu,0,nulo,,friendship
Cleffa,Clefairy,0,nulo,,friendship
Igglybuff,Jigglypuff,0,nulo,,friendship
Golbat,Crobat,0,nulo,,friendship
Meowth,Persian,0,nulo,,friendship
Chansey,Blissey,0,nulo,,friendship
Eevee,Espeon,0,nulo,Daytime,friendship
Eevee,Umbreon,0,nulo,Nighttime,friendship
Eevee,Sylveon,0,nulo,after Fairy-type move learnedand either ♥♥ Affection in Gen 6-7 or high friendship in Gen 8+,friendship
Munchlax,Snorlax,0,nulo,,friendship
Togepi,Togetic,0,nulo,,friendship
Azurill,Marill,0,nulo,,friendship
Budew,Roselia,0,nulo,Daytime,friendship
Chingling,Chimecho,0,nulo,Nighttime,friendship
Buneary,Lopunny,0,nulo,,friendship
Riolu,Lucario,0,nulo,Daytime,friendship
Woobat,Swoobat,0,nulo,,friendship
Swadloon,Leavanny,0,nulo,,friendship
Type: nulo,Silvally,0,nulo,,friendship
Snom,Frosmoth,0,nulo,Nighttime,friendship
Primeape,Annihilape,0,nulo,Use Rage Fist 20 times,status
Lickitung,Lickilicky,0,Rollout,after Rollout learned,status
Happiny,Chansey,0,Oval Stone,"hold Oval Stone, Daytime",status
Tangela,Tangrowth,0,Ancient Power,after Ancient Power learned,status
Mime Jr.,Mr. Mime,0,Mimic,"after Mimic learned, outside Galar",status
Mime Jr.,Mr. Mime,0,Mimic,"after Mimic learned, in Galar",status
Bonsly,Sudowoodo,0,Mimic,after Mimic learned,status
Aipom,Ambipom,0,Double Hit,after Double Hit learned,status
Yanma,Yanmega,0,Ancient Power,after Ancient Power learned,status
Gligar,Gliscor,0,Razor Fang,"hold Razor Fang, Nighttime",status
Sneasel,Weavile,0,Razor Claw,"hold Razor Claw, Nighttime",status
Piloswine,Mamoswine,0,Ancient Power,after Ancient Power learned,status
Mantyke,Mantine,0,Remoraid,with Remoraid in party,status
Nosepass,Probopass,0,Magnetic Field,level up in a Magnetic Field area,status
Yamask,Runerigus,0,nulo,near Dusty Bowl,status
Bisharp,Kingambit,0,nulo,defeat 3 Bisharp that are holding Leader's Crest,status
Steenee,Tsareena,0,Stomp,after Stomp learned,status
Poipole,Naganadel,0,Dragon Pulse,after Dragon Pulse learned,status
Meltan,Melmetal,0,nulo,"Pokémon GO only, 400 Meltan Candies",status
Milcery,Alcremie,0,nulo,spin around holding Sweet,status
Dipplin,Hydrapple,0,Dragon Cheer,after Dragon Cheer learned,status
Farfetch'd,Sirfetch'd,0,nulo,achieve 3 critical hits in one battle,status
Clobbopus,Grapploct,0,Taunt,after Taunt learned,status
Stantler,Wyrdeer,0,nulo,use Psyshield Bash 20 times in Agile Style,status
Basculin,Basculegion,0,nulo,"Male, receive 294 recoil damage in battle",status
Basculin,Basculegion,0,nulo,"Female, receive 294 recoil damage in battle",status
Qwilfish,Overqwil,0,nulo,use Barb Barrage 20 times in Strong Style,status
Girafarig,Farigiraf,0,Twin Beam,after Twin Beam learned,status
Dunsparce,Dudunsparce,0,Hyper Drill,after Hyper Drill learned,status
Dunsparce,Dudunsparce,0,Hyper Drill,"after Hyper Drill learned, rare",status
Rellor,Rabsca,0,nulo,"walk 1,000 steps in Let's Go mode",status
Pawmo,Pawmot,0,nulo,"walk 1,000 steps in Let's Go mode",status
Bramblin,Brambleghast,0,nulo,"walk 1,000 steps in Let's Go mode",status
Gimmighoul,Gholdengo,0,nulo,collect 999 Coins from Roaming Form,status
