Evolving_from,Evolving_to,level,item,description,type
Mudkip,Marshtomp,16,null,,level
Marshtomp,Swampert,36,null,,level
Poochyena,Mightyena,18,null,,level
Zigzagoon,Linoone,20,null,,level
Zigzagoon(Galarian Zigzagoon),Linoone(Galarian Linoone),20,null,,level
Linoone(Galarian Linoone),Obstagoon,35,null,Nighttime,level
Wurmple,Silcoon,7,null,random based on personality,level
Silcoon,Beautifly,10,null,,level
Wurmple,Cascoon,7,null,random based on personality,level
Cascoon,Dustox,10,null,,level
Lotad,Lombre,14,null,,level
Seedot,Nuzleaf,14,null,,level
Taillow,Swellow,22,null,,level
Wingull,Pelipper,25,null,,level
Ralts,Kirlia,20,null,,level
Kirlia,Gardevoir,30,null,,level
Surskit,Masquerain,22,null,,level
Shroomish,Breloom,23,null,,level
Slakoth,Vigoroth,18,null,,level
Vigoroth,Slaking,36,null,,level
Nincada,Ninjask,20,null,,level
Nincada,Shedinja,20,null,"empty spot in party, Pokéball in bag",level
Whismur,Loudred,20,null,,level
Loudred,Exploud,40,null,,level
Makuhita,Hariyama,24,null,,level
Aron,Lairon,32,null,,level
Lairon,Aggron,42,null,,level
Meditite,Medicham,37,null,,level
Electrike,Manectric,26,null,,level
Gulpin,Swalot,26,null,,level
Carvanha,Sharpedo,30,null,,level
Wailmer,Wailord,40,null,,level
Numel,Camerupt,33,null,,level
Spoink,Grumpig,32,null,,level
Trapinch,Vibrava,35,null,,level
Vibrava,Flygon,45,null,,level
Cacnea,Cacturne,32,null,,level
Swablu,Altaria,35,null,,level
Barboach,Whiscash,30,null,,level
Corphish,Crawdaunt,30,null,,level
Baltoy,Claydol,36,null,,level
Lileep,Cradily,40,null,,level
Anorith,Armaldo,40,null,,level
Shuppet,Banette,37,null,,level
Duskull,Dusclops,37,null,,level
Snorunt,Glalie,42,null,,level
Spheal,Sealeo,32,null,,level
Sealeo,Walrein,44,null,,level
Bagon,Shelgon,30,null,,level
Shelgon,Salamence,50,null,,level
Beldum,Metang,20,null,,level
Metang,Metagross,45,null,,level
Turtwig,Grotle,18,null,,level
Grotle,Torterra,32,null,,level
Chimchar,Monferno,14,null,,level
Monferno,Infernape,36,null,,level
Piplup,Prinplup,16,null,,level
Prinplup,Empoleon,36,null,,level
Starly,Staravia,14,null,,level
Staravia,Staraptor,34,null,,level
Bidoof,Bibarel,15,null,,level
Kricketot,Kricketune,10,null,,level
Shinx,Luxio,15,null,,level
Luxio,Luxray,30,null,,level
Cranidos,Rampardos,30,null,,level
Shieldon,Bastiodon,30,null,,level
Burmy(Plant Cloak),Mothim,20,null,Male,level
Burmy(Plant Cloak),Wormadam(Plant Cloak),20,null,"Female, in grass",level
Burmy(Sandy Cloak),Wormadam(Sandy Cloak),20,null,"Female, in caves",level
Burmy(Trash Cloak),Wormadam(Trash Cloak),20,null,"Female, in buildings",level
Combee,Vespiquen,21,null,Female,level
Buizel,Floatzel,26,null,,level
Cherubi,Cherrim,25,null,,level
Shellos,Gastrodon,30,null,,level
Drifloon,Drifblim,28,null,,level
Glameow,Purugly,38,null,,level
Stunky,Skuntank,34,null,,level
Bronzor,Bronzong,33,null,,level
Gible,Gabite,24,null,,level
Gabite,Garchomp,48,null,,level
Hippopotas,Hippowdon,34,null,,level
Skorupi,Drapion,40,null,,level
Croagunk,Toxicroak,37,null,,level
Finneon,Lumineon,31,null,,level
Snover,Abomasnow,40,null,,level
Snivy,Servine,17,null,,level
Servine,Serperior,36,null,,level
Tepig,Pignite,17,null,,level
Pignite,Emboar,36,null,,level
Oshawott,Dewott,17,null,,level
Dewott,Samurott,36,null,,level
Dewott,Samurott(Hisuian Samurott),36,null,in Legends: Arceus,level
Patrat,Watchog,20,null,,level
Lillipup,Herdier,16,null,,level
Herdier,Stoutland,32,null,,level
Purrloin,Liepard,20,null,,level
Pidove,Tranquill,21,null,,level
Tranquill,Unfezant,32,null,,level
Blitzle,Zebstrika,27,null,,level
Roggenrola,Boldore,25,null,,level
Drilbur,Excadrill,31,null,,level
Timburr,Gurdurr,25,null,,level
Tympole,Palpitoad,25,null,,level
Palpitoad,Seismitoad,36,null,,level
Sewaddle,Swadloon,20,null,,level
Venipede,Whirlipede,22,null,,level
Whirlipede,Scolipede,30,null,,level
Sandile,Krokorok,29,null,,level
Krokorok,Krookodile,40,null,,level
Darumaka,Darmanitan(Standard Mode),35,null,,level
Dwebble,Crustle,34,null,,level
Scraggy,Scrafty,39,null,,level
Yamask,Cofagrigus,34,null,,level
Tirtouga,Carracosta,37,null,,level
Archen,Archeops,37,null,,level
Trubbish,Garbodor,36,null,,level
Zorua,Zoroark,30,null,,level
Zorua(Hisuian Zorua),Zoroark(Hisuian Zoroark),30,null,in Legends: Arceus,level
Gothita,Gothorita,32,null,,level
Gothorita,Gothitelle,41,null,,level
Solosis,Duosion,32,null,,level
Duosion,Reuniclus,41,null,,level
Ducklett,Swanna,35,null,,level
Vanillite,Vanillish,35,null,,level
Vanillish,Vanilluxe,47,null,,level
Deerling,Sawsbuck,34,null,,level
Foongus,Amoonguss,39,null,,level
Frillish,Jellicent,40,null,,level
Joltik,Galvantula,36,null,,level
Ferroseed,Ferrothorn,40,null,,level
Klink,Klang,38,null,,level
Klang,Klinklang,49,null,,level
Tynamo,Eelektrik,39,null,,level
Elgyem,Beheeyem,42,null,,level
Litwick,Lampent,41,null,,level
Axew,Fraxure,38,null,,level
Fraxure,Haxorus,48,null,,level
Cubchoo,Beartic,37,null,,level
Mienfoo,Mienshao,50,null,,level
Golett,Golurk,43,null,,level
Pawniard,Bisharp,52,null,,level
Rufflet,Braviary,54,null,,level
Rufflet,Braviary(Hisuian Braviary),54,null,in Legends: Arceus,level
Vullaby,Mandibuzz,54,null,,level
Deino,Zweilous,50,null,,level
Zweilous,Hydreigon,64,null,,level
Larvesta,Volcarona,59,null,,level
Chespin,Quilladin,16,null,,level
Quilladin,Chesnaught,36,null,,level
Fennekin,Braixen,16,null,,level
Braixen,Delphox,36,null,,level
Froakie,Frogadier,16,null,,level
Frogadier,Greninja,36,null,,level
Bunnelby,Diggersby,20,null,,level
Fletchling,Fletchinder,17,null,,level
Fletchinder,Talonflame,35,null,,level
Scatterbug,Spewpa,9,null,,level
Spewpa,Vivillon,12,null,,level
Litleo,Pyroar,35,null,,level
Flabébé,Floette,19,null,,level
Skiddo,Gogoat,32,null,,level
Pancham,Pangoro,32,null,Dark type Pokémon in party,level
Espurr,Meowstic(Male),25,null,Male,level
Espurr,Meowstic(Female),25,null,Female,level
Honedge,Doublade,35,null,,level
Inkay,Malamar,30,null,holding console upside down,level
Binacle,Barbaracle,39,null,,level
Skrelp,Dragalge,48,null,,level
Clauncher,Clawitzer,37,null,,level
Tyrunt,Tyrantrum,39,null,Daytime,level
Amaura,Aurorus,39,null,Nighttime,level
Goomy,Sliggoo,40,null,,level
Sliggoo,Goodra,50,null,during rain,level
Goomy,Sliggoo(Hisuian Sliggoo),40,null,in Legends: Arceus,level
Sliggoo(Hisuian Sliggoo),Goodra(Hisuian Goodra),50,null,"during rain, in Legends: Arceus",level
Bergmite,Avalugg,37,null,,level
Bergmite,Avalugg(Hisuian Avalugg),37,null,in Legends: Arceus,level
Noibat,Noivern,48,null,,level
Rowlet,Dartrix,17,null,,level
Dartrix,Decidueye,34,null,,level
Dartrix,Decidueye(Hisuian Decidueye),36,null,in Legends: Arceus,level
Litten,Torracat,17,null,,level
Torracat,Incineroar,34,null,,level
Popplio,Brionne,17,null,,level
Brionne,Primarina,34,null,,level
Pikipek,Trumbeak,14,null,,level
Trumbeak,Toucannon,28,null,,level
Yungoos,Gumshoos,20,null,Daytime,level
Grubbin,Charjabug,20,null,,level
Cutiefly,Ribombee,25,null,,level
Rockruff,Lycanroc(Midday Form),25,null,Daytime,level
Rockruff,Lycanroc(Midnight Form),25,null,Nighttime,level
Rockruff(Own Tempo Rockruff),Lycanroc(Dusk Form),25,null,Dusk,level
Mareanie,Toxapex,38,null,,level
Mudbray,Mudsdale,30,null,,level
Dewpider,Araquanid,22,null,,level
Fomantis,Lurantis,34,null,Daytime,level
Morelull,Shiinotic,24,null,,level
Salandit,Salazzle,33,null,Female,level
Stufful,Bewear,27,null,,level
Bounsweet,Steenee,18,null,,level
Wimpod,Golisopod,30,null,,level
Sandygast,Palossand,42,null,,level
Jangmo-o,Hakamo-o,35,null,,level
Hakamo-o,Kommo-o,45,null,,level
Cosmog,Cosmoem,43,null,,level
Cosmoem,Solgaleo,53,null,in Pokémon Sun or Ultra Sun,level
Cosmoem,Lunala,53,null,in Pokémon Moon or Ultra Moon,level
Grookey,Thwackey,16,null,,level
Thwackey,Rillaboom,35,null,,level
Scorbunny,Raboot,16,null,,level
Raboot,Cinderace,35,null,,level
Sobble,Drizzile,16,null,,level
Drizzile,Inteleon,35,null,,level
Blipbug,Dottler,10,null,,level
Dottler,Orbeetle,30,null,,level
Rookidee,Corvisquire,18,null,,level
Corvisquire,Corviknight,38,null,,level
Skwovet,Greedent,24,null,,level
Nickit,Thievul,18,null,,level
Wooloo,Dubwool,24,null,,level
Chewtle,Drednaw,22,null,,level
Yamper,Boltund,25,null,,level
Gossifleur,Eldegoss,20,null,,level
Sizzlipede,Centiskorch,28,null,,level
Rolycoly,Carkol,18,null,,level
Carkol,Coalossal,34,null,,level
Arrokuda,Barraskewda,26,null,,level
Corsola(Galarian Corsola),Cursola,38,null,,level
Impidimp,Morgrem,32,null,,level
Morgrem,Grimmsnarl,42,null,,level
Hatenna,Hattrem,32,null,,level
Hattrem,Hatterene,42,null,,level
Cufant,Copperajah,34,null,,level
Toxel,Toxtricity(Amped Form),30,null,with an amped Nature,level
Toxel,Toxtricity(Low Key Form),30,null,with a low key Nature,level
Silicobra,Sandaconda,36,null,,level
Dreepy,Drakloak,50,null,,level
Drakloak,Dragapult,60,null,,level
Sprigatito,Floragato,16,null,,level
Floragato,Meowscarada,36,null,,level
Fuecoco,Crocalor,16,null,,level
Crocalor,Skeledirge,36,null,,level
Quaxly,Quaxwell,16,null,,level
Quaxwell,Quaquaval,36,null,,level
Lechonk,Oinkologne(Male),18,null,Male,level
Lechonk,Oinkologne(Female),18,null,Female,level
Tarountula,Spidops,15,null,,level
Nymble,Lokix,24,null,,level
Greavard,Houndstone,30,null,Nighttime,level
Flittle,Espathra,35,null,,level
Wiglett,Wugtrio,26,null,,level
Finizen,Palafin(Zero Form),38,null,while in multiplayer,level
Smoliv,Dolliv,25,null,,level
Dolliv,Arboliva,35,null,,level
Varoom,Revavroom,40,null,,level
Tandemaus,Maushold(Family of Three),25,null,rare,level
Tandemaus,Maushold(Family of Four),25,null,,level
Frigibax,Arctibax,35,null,,level
Arctibax,Baxcalibur,54,null,,level
Pawmi,Pawmo,18,null,,level
Wattrel,Kilowattrel,25,null,,level
Nacli,Naclstack,24,null,,level
Naclstack,Garganacl,38,null,,level
Glimmet,Glimmora,35,null,,level
Shroodle,Grafaiai,28,null,,level
Fidough,Dachsbun,26,null,,level
Maschiff,Mabosstiff,30,null,,level
Tinkatink,Tinkatuff,24,null,,level
Tinkatuff,Tinkaton,38,null,,level
Toedscool,Toedscruel,30,null,,level
Pikachu,Raichu,0,Thunder Stone,"Thunder Stone, outside Alola",stone
Pikachu,Raichu(Alolan Raichu),0,Thunder Stone,"Thunder Stone, in Alola",stone
Sandshrew(Alolan Sandshrew),Sandslash(Alolan Sandslash),0,Ice Stone,Ice Stone,stone
Nidorina,Nidoqueen,0,Moon Stone,Moon Stone,stone
Nidorino,Nidoking,0,Moon Stone,Moon Stone,stone
Clefairy,Clefable,0,Moon Stone,Moon Stone,stone
Vulpix,Ninetales,0,Fire Stone,Fire Stone,stone
Vulpix(Alolan Vulpix),Ninetales(Alolan Ninetales),0,Ice Stone,Ice Stone,stone
Jigglypuff,Wigglytuff,0,Moon Stone,Moon Stone,stone
Gloom,Vileplume,0,Leaf Stone,Leaf Stone,stone
Gloom,Bellossom,0,Sun Stone,Sun Stone,stone
Growlithe,Arcanine,0,Fire Stone,Fire Stone,stone
Growlithe(Hisuian Growlithe),Arcanine(Hisuian Arcanine),0,Fire Stone,Fire Stone,stone
Poliwhirl,Poliwrath,0,Water Stone,Water Stone,stone
Weepinbell,Victreebel,0,Leaf Stone,Leaf Stone,stone
Slowpoke(Galarian Slowpoke),Slowbro(Galarian Slowbro),0,Galarica Cuff,Galarica Cuff,stone
Slowpoke(Galarian Slowpoke),Slowking(Galarian Slowking),0,Galarica Wreath,Galarica Wreath,stone
Magneton,Magnezone,0,Thunder Stone,"Thunder Stone, in Gen 8+, or level up in a Magnetic Field area",stone
Shellder,Cloyster,0,Water Stone,Water Stone,stone
Voltorb(Hisuian Voltorb),Electrode(Hisuian Electrode),0,Leaf Stone,Leaf Stone,stone
Exeggcute,Exeggutor,0,Leaf Stone,"Leaf Stone, outside Alola",stone
Exeggcute,Exeggutor(Alolan Exeggutor),0,Leaf Stone,"Leaf Stone, in Alola",stone
Staryu,Starmie,0,Water Stone,Water Stone,stone
Scyther,Kleavor,0,Black Augurite,Black Augurite,stone
Eevee,Vaporeon,0,Water Stone,Water Stone,stone
Eevee,Jolteon,0,Thunder Stone,Thunder Stone,stone
Eevee,Flareon,0,Fire Stone,Fire Stone,stone
Eevee,Leafeon,0,Leaf Stone,"Leaf Stone, or level up near a Mossy Rock",stone
Eevee,Glaceon,0,Ice Stone,"Ice Stone, or level up near an Icy Rock",stone
Togetic,Togekiss,0,Shiny Stone,Shiny Stone,stone
Sunkern,Sunflora,0,Sun Stone,Sun Stone,stone
Murkrow,Honchkrow,0,Dusk Stone,Dusk Stone,stone
Misdreavus,Mismagius,0,Dusk Stone,Dusk Stone,stone
Sneasel(Hisuian Sneasel),Sneasler,0,Razor Claw,"Razor Claw, Daytime",stone
Ursaring,Ursaluna,0,Peat Block,"Peat Block, under a full moon, in Legends: Arceus",stone
Lombre,Ludicolo,0,Water Stone,Water Stone,stone
Nuzleaf,Shiftry,0,Leaf Stone,Leaf Stone,stone
Kirlia,Gallade,0,Dawn Stone,"Dawn Stone, Male",stone
Skitty,Delcatty,0,Moon Stone,Moon Stone,stone
Roselia,Roserade,0,Shiny Stone,Shiny Stone,stone
Snorunt,Froslass,0,Dawn Stone,"Dawn Stone, Female",stone
Pansage,Simisage,0,Leaf Stone,Leaf Stone,stone
Pansear,Simisear,0,Fire Stone,Fire Stone,stone
Panpour,Simipour,0,Water Stone,Water Stone,stone
Munna,Musharna,0,Moon Stone,Moon Stone,stone
Cottonee,Whimsicott,0,Sun Stone,Sun Stone,stone
Petilil,Lilligant,0,Sun Stone,Sun Stone,stone
Petilil,Lilligant(Hisuian Lilligant),0,Sun Stone,"Sun Stone, in Legends: Arceus",stone
Darumaka(Galarian Darumaka),Darmanitan(Galarian Standard Mode),0,Ice Stone,Ice Stone,stone
Minccino,Cinccino,0,Shiny Stone,Shiny Stone,stone
Eelektrik,Eelektross,0,Thunder Stone,Thunder Stone,stone
Lampent,Chandelure,0,Dusk Stone,Dusk Stone,stone
Floette,Florges,0,Shiny Stone,Shiny Stone,stone
Doublade,Aegislash(Shield Forme),0,Dusk Stone,Dusk Stone,stone
Helioptile,Heliolisk,0,Sun Stone,Sun Stone,stone
Charjabug,Vikavolt,0,Thunder Stone,"Thunder Stone, in Gen 8, or level up in a Magnetic Field area",stone
Crabrawler,Crabominable,0,Ice Stone,"Ice Stone, or at Mount Lanakila in Alola",stone
Applin,Flapple,0,Tart Apple,Tart Apple,stone
Applin,Appletun,0,Sweet Apple,Sweet Apple,stone
Applin,Dipplin,0,Syrupy Apple,Syrupy Apple,stone
Sinistea,Polteageist,0,Cracked Pot,Cracked Pot,stone
Kubfu,Urshifu(Single Strike Style),0,Scroll Of Darkness,"Scroll Of Darkness, or in Tower of Darkness in Galar",stone
Kubfu,Urshifu(Rapid Strike Style),0,Scroll Of Waters,"Scroll Of Waters, or in Tower of Water in Galar",stone
Capsakid,Scovillain,0,Fire Stone,Fire Stone,stone
Tadbulb,Bellibolt,0,Thunder Stone,Thunder Stone,stone
Cetoddle,Cetitan,0,Ice Stone,Ice Stone,stone
Charcadet,Armarouge,0,Auspicious Armor,Auspicious Armor,stone
Charcadet,Ceruledge,0,Malicious Armor,Malicious Armor,stone
Poltchageist,Sinistcha,0,Unremarkable Teacup,Unremarkable Teacup,stone
Duraludon,Archaludon,0,Metal Alloy,Metal Alloy,stone
Poliwhirl,Politoed,0,King's Rock, King's Rock,trade
Kadabra,Alakazam,0,null,,trade
Machoke,Machamp,0,null,,trade
Graveler,Golem,0,null,,trade
Graveler(Alolan Graveler),Golem(Alolan Golem),0,null,,trade
Slowpoke,Slowking,0,King's Rock, King's Rock,trade
Haunter,Gengar,0,null,,trade
Onix,Steelix,0,Metal Coat, Metal Coat,trade
Rhydon,Rhyperior,0,Protector, Protector,trade
Seadra,Kingdra,0,Dragon Scale, Dragon Scale,trade
Scyther,Scizor,0,Metal Coat, Metal Coat,trade
Electabuzz,Electivire,0,Electirizer, Electirizer,trade
Magmar,Magmortar,0,Magmarizer, Magmarizer,trade
Porygon,Porygon2,0,Upgrade, Upgrade,trade
Porygon2,Porygon-Z,0,Dubious Disc, Dubious Disc,trade
Feebas,Milotic,0,Prism Scale," Prism Scale, or level up with max Beauty",trade
Dusclops,Dusknoir,0,Reaper Cloth, Reaper Cloth,trade
Clamperl,Huntail,0,Deep Sea Tooth, Deep Sea Tooth,trade
Clamperl,Gorebyss,0,Deep Sea Scale, Deep Sea Scale,trade
Boldore,Gigalith,0,null,,trade
Gurdurr,Conkeldurr,0,null,,trade
Karrablast,Escavalier,0,null,Trade with Shelmet,trade
Shelmet,Accelgor,0,null,Trade with Karrablast,trade
Spritzee,Aromatisse,0,Sachet, Sachet,trade
Swirlix,Slurpuff,0,Whipped Dream, Whipped Dream,trade
Phantump,Trevenant,0,null,,trade
Pumpkaboo(Average Size),Gourgeist(Average Size),0,null,,trade
Pichu,Pikachu,0,null,,friendship
Cleffa,Clefairy,0,null,,friendship
Igglybuff,Jigglypuff,0,null,,friendship
Golbat,Crobat,0,null,,friendship
Meowth(Alolan Meowth),Persian(Alolan Persian),0,null,,friendship
Chansey,Blissey,0,null,,friendship
Eevee,Espeon,0,null,Daytime,friendship
Eevee,Umbreon,0,null,Nighttime,friendship
Eevee,Sylveon,0,null,after Fairy-type move learnedand either ♥♥ Affection in Gen 6-7 or high friendship in Gen 8+,friendship
Munchlax,Snorlax,0,null,,friendship
Togepi,Togetic,0,null,,friendship
Azurill,Marill,0,null,,friendship
Budew,Roselia,0,null,Daytime,friendship
Chingling,Chimecho,0,null,Nighttime,friendship
Buneary,Lopunny,0,null,,friendship
Riolu,Lucario,0,null,Daytime,friendship
Woobat,Swoobat,0,null,,friendship
Swadloon,Leavanny,0,null,,friendship
Type: Null,Silvally,0,null,,friendship
Snom,Frosmoth,0,null,Nighttime,friendship
Primeape,Annihilape,0,null,Use Rage Fist 20 times,status
Lickitung,Lickilicky,0,null,after Rollout learned,status
Happiny,Chansey,0,Oval Stone,"hold Oval Stone, Daytime",status
Tangela,Tangrowth,0,null,after Ancient Power learned,status
Mime Jr.,Mr. Mime,0,null,"after Mimic learned, outside Galar",status
Mime Jr.,Mr. Mime(Galarian Mr. Mime),0,null,"after Mimic learned, in Galar",status
Bonsly,Sudowoodo,0,null,after Mimic learned,status
Aipom,Ambipom,0,null,after Double Hit learned,status
Yanma,Yanmega,0,null,after Ancient Power learned,status
Gligar,Gliscor,0,Razor Fang,"hold Razor Fang, Nighttime",status
Sneasel,Weavile,0,Razor Claw,"hold Razor Claw, Nighttime",status
Piloswine,Mamoswine,0,null,after Ancient Power learned,status
Mantyke,Mantine,0,null,with Remoraid in party,status
Nosepass,Probopass,0,null,level up in a Magnetic Field area,status
Yamask(Galarian Yamask),Runerigus,0,null,near Dusty Bowl,status
Bisharp,Kingambit,0,null,defeat 3 Bisharp that are holding Leader's Crest,status
Steenee,Tsareena,0,null,after Stomp learned,status
Poipole,Naganadel,0,null,after Dragon Pulse learned,status
Meltan,Melmetal,0,null,"Pokémon GO only, 400 Meltan Candies",status
Milcery,Alcremie,0,null,spin around holding Sweet,status
Dipplin,Hydrapple,0,null,after Dragon Cheer learned,status
Farfetch'd(Galarian Farfetch'd),Sirfetch'd,0,null,achieve 3 critical hits in one battle,status
Clobbopus,Grapploct,0,null,after Taunt learned,status
Stantler,Wyrdeer,0,null,use Psyshield Bash 20 times in Agile Style,status
Basculin(White-Striped Form),Basculegion(Male),0,null,"Male, receive 294 recoil damage in battle",status
Basculin(White-Striped Form),Basculegion(Female),0,null,"Female, receive 294 recoil damage in battle",status
Qwilfish(Hisuian Qwilfish),Overqwil,0,null,use Barb Barrage 20 times in Strong Style,status
Girafarig,Farigiraf,0,null,after Twin Beam learned,status
Dunsparce,Dudunsparce(Two-Segment Form),0,null,after Hyper Drill learned,status
Dunsparce,Dudunsparce(Three-Segment Form),0,null,"after Hyper Drill learned, rare",status
Rellor,Rabsca,0,null,"walk 1,000 steps in Let's Go mode",status
Pawmo,Pawmot,0,null,"walk 1,000 steps in Let's Go mode",status
Bramblin,Brambleghast,0,null,"walk 1,000 steps in Let's Go mode",status
Gimmighoul(Chest Form),Gholdengo,0,null,collect 999 Coins from Roaming Form,status
